France, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 17/10/2023
Year    Age        Total
1946     12-        0.00
1946     13         1.00
1946     14        60.00
1946     15       481.00
1946     16      2135.00
1946     17      6212.00
1946     18     13577.00
1946     19     23191.00
1946     20     33652.00
1946     21     42826.00
1946     22     50328.00
1946     23     55514.00
1946     24     62768.00
1946     25     66667.00
1946     26     57543.00
1946     27     33530.00
1946     28     31465.00
1946     29     27481.00
1946     30     25791.00
1946     31     40565.00
1946     32     42652.00
1946     33     39725.00
1946     34     34347.00
1946     35     30617.00
1946     36     27516.00
1946     37     23313.00
1946     38     19267.00
1946     39     15908.00
1946     40     12430.00
1946     41      9243.00
1946     42      6312.00
1946     43      4169.00
1946     44      2336.00
1946     45      1318.00
1946     46       612.00
1946     47       209.00
1946     48        67.00
1946     49        76.00
1946     50         0.00
1946     51         0.00
1946     52         0.00
1946     53         0.00
1946     54         0.00
1946     55+        0.00
1947     12-        0.00
1947     13         0.00
1947     14       117.00
1947     15       563.00
1947     16      2415.00
1947     17      6892.00
1947     18     15098.00
1947     19     27406.00
1947     20     40075.00
1947     21     50968.00
1947     22     59386.00
1947     23     62518.00
1947     24     65177.00
1947     25     66683.00
1947     26     65914.00
1947     27     53545.00
1947     28     30769.00
1947     29     27821.00
1947     30     23768.00
1947     31     21848.00
1947     32     33620.00
1947     33     35286.00
1947     34     32250.00
1947     35     28644.00
1947     36     24744.00
1947     37     22799.00
1947     38     19133.00
1947     39     15435.00
1947     40     12070.00
1947     41      9527.00
1947     42      6620.00
1947     43      4204.00
1947     44      2685.00
1947     45      1395.00
1947     46       663.00
1947     47       282.00
1947     48        84.00
1947     49        34.00
1947     50        34.00
1947     51         0.00
1947     52         0.00
1947     53         0.00
1947     54         0.00
1947     55+        0.00
1948     12-        0.00
1948     13         2.00
1948     14        93.00
1948     15       608.00
1948     16      2293.00
1948     17      7172.00
1948     18     15349.00
1948     19     27287.00
1948     20     40915.00
1948     21     50812.00
1948     22     59612.00
1948     23     62426.00
1948     24     64337.00
1948     25     62837.00
1948     26     63222.00
1948     27     61894.00
1948     28     50046.00
1948     29     28749.00
1948     30     25694.00
1948     31     21887.00
1948     32     19541.00
1948     33     29950.00
1948     34     31209.00
1948     35     28638.00
1948     36     24477.00
1948     37     20992.00
1948     38     18539.00
1948     39     15260.00
1948     40     11998.00
1948     41      9120.00
1948     42      6582.00
1948     43      4329.00
1948     44      2487.00
1948     45      1339.00
1948     46       652.00
1948     47       327.00
1948     48       113.00
1948     49        28.00
1948     50        20.00
1948     51         0.00
1948     52         0.00
1948     53         0.00
1948     54         0.00
1948     55+        0.00
1949     12-        0.00
1949     13         1.00
1949     14        96.00
1949     15       618.00
1949     16      2336.00
1949     17      7118.00
1949     18     15953.00
1949     19     27395.00
1949     20     39909.00
1949     21     51302.00
1949     22     59385.00
1949     23     63166.00
1949     24     65550.00
1949     25     62129.00
1949     26     61282.00
1949     27     60485.00
1949     28     57740.00
1949     29     46280.00
1949     30     26202.00
1949     31     23400.00
1949     32     19744.00
1949     33     17721.00
1949     34     26388.00
1949     35     26947.00
1949     36     24157.00
1949     37     20299.00
1949     38     17088.00
1949     39     14635.00
1949     40     11513.00
1949     41      8637.00
1949     42      6143.00
1949     43      4180.00
1949     44      2425.00
1949     45      1345.00
1949     46       624.00
1949     47       271.00
1949     48       133.00
1949     49        38.00
1949     50        26.00
1949     51         0.00
1949     52         0.00
1949     53         0.00
1949     54         0.00
1949     55+        0.00
1950     12-        0.00
1950     13         0.00
1950     14       137.00
1950     15       638.00
1950     16      2415.00
1950     17      6978.00
1950     18     15381.00
1950     19     27860.00
1950     20     39890.00
1950     21     49911.00
1950     22     58449.00
1950     23     61952.00
1950     24     64149.00
1950     25     61248.00
1950     26     59360.00
1950     27     57096.00
1950     28     55134.00
1950     29     52439.00
1950     30     41773.00
1950     31     23484.00
1950     32     20734.00
1950     33     17175.00
1950     34     15815.00
1950     35     22632.00
1950     36     23114.00
1950     37     20171.00
1950     38     16639.00
1950     39     13791.00
1950     40     11151.00
1950     41      8490.00
1950     42      5863.00
1950     43      3903.00
1950     44      2240.00
1950     45      1238.00
1950     46       564.00
1950     47       266.00
1950     48       130.00
1950     49        63.00
1950     50        37.00
1950     51         0.00
1950     52         0.00
1950     53         0.00
1950     54         0.00
1950     55+        0.00
1951     12-        0.00
1951     13         0.00
1951     14       119.00
1951     15       519.00
1951     16      2253.00
1951     17      6425.00
1951     18     14154.00
1951     19     25893.00
1951     20     39432.00
1951     21     49268.00
1951     22     56160.00
1951     23     59922.00
1951     24     61803.00
1951     25     58470.00
1951     26     56068.00
1951     27     53181.00
1951     28     49978.00
1951     29     48214.00
1951     30     45589.00
1951     31     35918.00
1951     32     20184.00
1951     33     17721.00
1951     34     14652.00
1951     35     12891.00
1951     36     18750.00
1951     37     18471.00
1951     38     16177.00
1951     39     12861.00
1951     40     10062.00
1951     41      7893.00
1951     42      5710.00
1951     43      3621.00
1951     44      2249.00
1951     45      1132.00
1951     46       552.00
1951     47       236.00
1951     48        99.00
1951     49        48.00
1951     50        47.00
1951     51         0.00
1951     52         0.00
1951     53         0.00
1951     54         0.00
1951     55+        0.00
1952     12-        0.00
1952     13         0.00
1952     14       119.00
1952     15       533.00
1952     16      2042.00
1952     17      6081.00
1952     18     13573.00
1952     19     24812.00
1952     20     37786.00
1952     21     49449.00
1952     22     56298.00
1952     23     58707.00
1952     24     60949.00
1952     25     57746.00
1952     26     55378.00
1952     27     52716.00
1952     28     49550.00
1952     29     45996.00
1952     30     44245.00
1952     31     40305.00
1952     32     32406.00
1952     33     18115.00
1952     34     15799.00
1952     35     13105.00
1952     36     11228.00
1952     37     15968.00
1952     38     15421.00
1952     39     13061.00
1952     40      9963.00
1952     41      7386.00
1952     42      5682.00
1952     43      3613.00
1952     44      2098.00
1952     45      1103.00
1952     46       560.00
1952     47       199.00
1952     48        94.00
1952     49        51.00
1952     50        67.00
1952     51         0.00
1952     52         0.00
1952     53         0.00
1952     54         0.00
1952     55+        0.00
1953     12-        0.00
1953     13        24.00
1953     14       104.00
1953     15       526.00
1953     16      2038.00
1953     17      5656.00
1953     18     13191.00
1953     19     23631.00
1953     20     36051.00
1953     21     47478.00
1953     22     56884.00
1953     23     58932.00
1953     24     59745.00
