Hungary, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 08/03/2022
Year    Age        Total
1950     12-        0.05
1950     13         2.18
1950     14        39.77
1950     15       270.05
1950     16      1110.19
1950     17      3135.55
1950     18      5984.04
1950     19      8957.56
1950     20     12032.10
1950     21     13463.34
1950     22     13790.40
1950     23     14173.47
1950     24     14301.48
1950     25     13221.30
1950     26     12518.18
1950     27     11845.06
1950     28     11098.93
1950     29      9328.62
1950     30      8787.53
1950     31      4812.84
1950     32      3454.60
1950     33      3179.56
1950     34      3193.55
1950     35      4588.80
1950     36      4491.78
1950     37      4038.70
1950     38      3459.61
1950     39      2912.51
1950     40      2447.43
1950     41      1800.31
1950     42      1319.22
1950     43       830.15
1950     44       434.07
1950     45       289.05
1950     46       139.02
1950     47        51.01
1950     48        25.00
1950     49        16.00
1950     50        11.00
1950     51         5.00
1950     52         2.00
1950     53         1.00
1950     54         3.00
1950     55+        2.00
1951     12-        0.06
1951     13         3.44
1951     14        53.51
1951     15       242.06
1951     16       956.22
1951     17      2915.69
1951     18      6056.43
1951     19      8946.11
1951     20     12146.87
1951     21     13198.11
1951     22     13738.24
1951     23     13615.22
1951     24     13528.19
1951     25     13377.15
1951     26     12074.85
1951     27     10906.57
1951     28     10430.46
1951     29      9720.30
1951     30      8115.92
1951     31      7558.78
1951     32      4108.97
1951     33      2868.67
1951     34      2749.65
1951     35      2767.65
1951     36      3799.89
1951     37      3655.86
1951     38      3318.78
1951     39      2777.65
1951     40      2219.53
1951     41      1721.41
1951     42      1217.28
1951     43       851.20
1951     44       498.12
1951     45       226.05
1951     46       138.03
1951     47        54.01
1951     48        34.00
1951     49        17.00
1951     50        17.00
1951     51        11.00
1951     52         2.00
1951     53         0.00
1951     54         2.00
1951     55+        5.00
1952     12-        0.08
1952     13         4.52
1952     14        61.40
1952     15       200.00
1952     16       846.02
1952     17      2559.05
1952     18      5355.11
1952     19      8692.19
1952     20     11327.25
1952     21     12968.28
1952     22     13453.29
1952     23     13439.29
1952     24     13040.28
1952     25     12515.27
1952     26     12141.26
1952     27     10644.22
1952     28      9905.21
1952     29      9419.20
1952     30      8694.19
1952     31      7126.15
1952     32      6761.15
1952     33      3828.08
1952     34      2565.06
1952     35      2499.06
1952     36      2365.06
1952     37      3140.07
1952     38      3053.06
1952     39      2631.06
1952     40      2044.04
1952     41      1717.04
1952     42      1166.02
1952     43       760.02
1952     44       475.01
1952     45       203.00
1952     46       119.00
1952     47        44.00
1952     48        21.00
1952     49        14.00
1952     50        11.20
1952     51         6.70
1952     52         2.84
1952     53         1.01
1952     54         0.25
1952     55+        0.00
1953     12-        0.10
1953     13         5.93
1953     14        77.98
1953     15       239.03
1953     16       925.13
1953     17      2616.38
1953     18      5322.77
1953     19      8978.30
1953     20     11874.72
1953     21     13588.97
1953     22     14763.14
1953     23     14741.14
1953     24     14235.06
1953     25     13509.96
1953     26     13060.89
1953     27     12578.82
1953     28     10909.59
1953     29     10199.48
1953     30      9888.44
1953     31      9266.35
1953     32      7790.13
1953     33      7188.04
1953     34      3888.56
1953     35      2601.38
1953     36      2548.36
1953     37      2402.35
1953     38      3232.46
1953     39      3005.44
1953     40      2415.35
1953     41      1904.27
1953     42      1304.19
1953     43       886.13
1953     44       505.07
1953     45       254.04
1953     46       105.02
1953     47        57.00
1953     48        17.00
1953     49        13.00
1953     50        12.88
1953     51         8.06
1953     52         3.51
1953     53         1.25
1953     54         0.30
1953     55+        0.00
1954     12-        0.08
1954     13         4.40
1954     14        66.54
1954     15       281.08
1954     16      1045.29
1954     17      2776.78
1954     18      5531.56
1954     19      9156.58
1954     20     12657.57
1954     21     14757.17
1954     22     15648.41
1954     23     16212.57
1954     24     15269.31
1954     25     14510.10
1954     26     13692.86
1954     27     13142.71
1954     28     12697.58
1954     29     11200.16
1954     30     10384.93
1954     31      9807.77
1954     32      8949.53
1954     33      7448.10
1954     34      6973.97
1954     35      3753.06
1954     36      2490.71
1954     37      2352.67
1954     38      2171.61
1954     39      2846.80
1954     40      2463.69
1954     41      1903.54
1954     42      1275.36
1954     43       895.26
1954     44       494.14
1954     45       279.07
1954     46       112.03
1954     47        40.02
1954     48        15.00
1954     49        10.00
1954     50        13.20
1954     51         9.70
1954     52         4.23
1954     53         1.52
1954     54         0.37
1954     55+        0.00
1955     12-        0.08
1955     13         4.32
1955     14        66.60
1955     15       287.00
1955     16      1110.01
1955     17      2950.03
1955     18      6022.06
1955     19      9212.09
1955     20     12399.12
1955     21     14598.14
1955     22     15247.14
1955     23     14912.14
1955     24     14831.14
1955     25     13548.12
1955     26     12779.12
1955     27     11689.12
1955     28     10885.10
1955     29     10603.10
1955     30      9164.08
1955     31      8257.08
1955     32      8072.08
1955     33      7416.08
1955     34      6085.06
1955     35      5536.06
1955     36      2882.03
1955     37      1890.02
1955     38      1749.02
1955     39      1562.02
1955     40      2096.02
1955     41      1620.02
1955     42      1240.02
1955     43       771.00
1955     44       488.00
1955     45       275.00
1955     46       107.00
1955     47        37.00
1955     48        12.00
1955     49        12.00
1955     50         7.06
1955     51         4.00
1955     52         1.92
1955     53         0.79
1955     54         0.22
1955     55+        0.00
1956     12-        0.09
1956     13         5.30
1956     14        81.66
1956     15       315.18
1956     16      1105.62
1956     17      2981.68
1956     18      6026.41
1956     19      9373.30
1956     20     11838.69
1956     21     13797.80
1956     22     14516.21
1956     23     14260.06
1956     24     13440.60
1956     25     12783.22
1956     26     11669.59
1956     27     10585.98
1956     28      9309.26
1956     29      8841.00
1956     30      8301.70
1956     31      7167.05
1956     32      6626.74
1956     33      6162.48
