Portugal, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 05/09/2022
Year   Age   Cohort      Exposure
1940    12    1928       41488.56
1940    12    1927       38632.76
1940    13    1927       38580.50
1940    13    1926       39764.52
1940    14    1926       39706.19
1940    14    1925       38456.89
1940    15    1925       39939.03
1940    15    1924       38636.17
1940    16    1924       40693.71
1940    16    1923       36750.43
1940    17    1923       38592.25
1940    17    1922       38588.83
1940    18    1922       40127.52
1940    18    1921       32579.42
1940    19    1921       33419.91
1940    19    1920       36377.01
1940    20    1920       38676.39
1940    20    1919       27772.46
1940    21    1919       26875.20
1940    21    1918       29200.22
1940    22    1918       31854.99
1940    22    1917       31624.91
1940    23    1917       31537.87
1940    23    1916       31790.93
1940    24    1916       31700.60
1940    24    1915       33512.62
1940    25    1915       33417.69
1940    25    1914       31915.29
1940    26    1914       31818.46
1940    26    1913       31395.69
1940    27    1913       31296.73
1940    27    1912       33384.15
1940    28    1912       33282.51
1940    28    1911       26852.80
1940    29    1911       26748.35
1940    29    1910       36771.62
1940    30    1910       35907.39
1940    30    1909       24240.22
1940    31    1909       24813.92
1940    31    1908       28725.65
1940    32    1908       30122.32
1940    32    1907       28326.06
1940    33    1907       29073.92
1940    33    1906       26189.43
1940    34    1906       26978.87
1940    34    1905       29400.72
1940    35    1905       30318.34
1940    35    1904       26930.89
1940    36    1904       28508.84
1940    36    1903       25030.71
1940    37    1903       26234.91
1940    37    1902       27174.18
1940    38    1902       28015.87
1940    38    1901       22413.15
1940    39    1901       23522.93
1940    39    1900       31379.03
1940    40    1900       31279.70
1940    40    1899       18154.88
1940    41    1899       18063.74
1940    41    1898       23449.73
1940    42    1898       23366.20
1940    42    1897       21145.28
1940    43    1897       21055.39
1940    43    1896       20808.80
1940    44    1896       20725.90
1940    44    1895       23262.93
1940    45    1895       23174.58
1940    45    1894       20061.77
1940    46    1894       19965.16
1940    46    1893       19202.75
1940    47    1893       19114.78
1940    47    1892       22725.68
