Hungary, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 08/03/2022
Year   Age   Cohort      Exposure
1950    12    1938       37494.77
1950    12    1937       35591.22
1950    13    1937       36373.96
1950    13    1936       35736.42
1950    14    1936       36183.76
1950    14    1935       35305.72
1950    15    1935       37766.33
1950    15    1934       35793.33
1950    16    1934       37332.49
1950    16    1933       37352.87
1950    17    1933       37844.04
1950    17    1932       37268.69
1950    18    1932       39856.38
1950    18    1931       36372.29
1950    19    1931       39149.17
1950    19    1930       40318.43
1950    20    1930       40623.11
1950    20    1929       37441.89
1950    21    1929       39534.25
1950    21    1928       39148.00
1950    22    1928       40482.75
1950    22    1927       37014.15
1950    23    1927       39960.10
1950    23    1926       39850.67
1950    24    1926       41179.43
1950    24    1925       41408.38
1950    25    1925       42041.75
1950    25    1924       37206.58
1950    26    1924       40050.93
1950    26    1923       39536.00
1950    27    1923       42439.90
1950    27    1922       41004.42
1950    28    1922       44692.02
1950    28    1921       41666.61
1950    29    1921       41547.42
1950    29    1920       39329.30
1950    30    1920       43807.14
1950    30    1919       40937.42
1950    31    1919       30383.00
1950    31    1918       20314.65
1950    32    1918       20263.51
1950    32    1917       20059.65
1950    33    1917       20027.01
1950    33    1916       20803.99
1950    34    1916       20766.68
1950    34    1915       27579.48
1950    35    1915       27528.85
1950    35    1914       40404.81
1950    36    1914       40303.20
1950    36    1913       39301.80
1950    37    1913       39197.53
1950    37    1912       41088.47
1950    38    1912       40967.70
1950    38    1911       37624.98
1950    39    1911       37549.20
1950    39    1910       39703.63
1950    40    1910       39566.03
1950    40    1909       37997.30
1950    41    1909       37919.53
1950    41    1908       37669.13
1950    42    1908       37554.38
1950    42    1907       36382.80
1950    43    1907       36271.54
1950    43    1906       34549.80
1950    44    1906       34465.04
1950    44    1905       32731.13
1950    45    1905       32636.54
1950    45    1904       33075.79
1950    46    1904       32945.21
1950    46    1903       33106.13
1950    47    1903       32986.21
1950    47    1902       33796.78
