Netherlands, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 25/05/2021
Year   Age   Cohort      Exposure
1959    44    1915       33956.57
1959    44    1914       34791.20
1959    45    1914       35753.05
1959    45    1913       34236.09
1959    46    1913       35146.68
1959    46    1912       34344.01
1959    47    1912       34812.23
1959    47    1911       31770.42
1959    48    1911       33044.76
1959    48    1910       32150.23
1959    49    1910       33319.66
1959    49    1909       32797.78
1959    50    1909       33759.24
1959    50    1908       32079.81
1959    51    1908       33684.27
1959    51    1907       31640.45
1959    52    1907       32941.28
1959    52    1906       30870.90
1959    53    1906       32173.05
1959    53    1905       30558.74
1959    54    1905       31564.00
1959    54    1904       30136.81
1959    55    1904       30904.40
1959    55    1903       28989.19
1960    12    1948       58865.63
1960    12    1947       59841.66
1960    13    1947       63703.90
1960    13    1946       63778.85
1960    14    1946       64847.18
1960    14    1945       42464.24
1960    15    1945       49577.14
1960    15    1944       48379.69
1960    16    1944       49200.94
1960    16    1943       47071.38
1960    17    1943       46203.83
1960    17    1942       42705.52
1960    18    1942       43152.25
1960    18    1941       40199.45
1960    19    1941       42027.29
1960    19    1940       42035.25
1960    20    1940       42536.67
1960    20    1939       40875.93
1960    21    1939       41639.16
1960    21    1938       39593.34
1960    22    1938       41113.35
1960    22    1937       37843.47
1960    23    1937       38681.70
1960    23    1936       37952.42
1960    24    1936       38510.04
1960    24    1935       36993.51
1960    25    1935       38279.11
1960    25    1934       37247.43
1960    26    1934       38287.79
1960    26    1933       36708.28
1960    27    1933       37830.84
1960    27    1932       38073.88
1960    28    1932       39515.04
1960    28    1931       37504.23
1960    29    1931       38980.67
1960    29    1930       38739.02
1960    30    1930       39709.66
1960    30    1929       37294.16
1960    31    1929       38723.32
1960    31    1928       37547.62
1960    32    1928       39034.84
1960    32    1927       36807.63
1960    33    1927       38054.57
1960    33    1926       37109.62
1960    34    1926       38224.93
1960    34    1925       37269.20
1960    35    1925       38687.66
1960    35    1924       38242.89
1960    36    1924       39442.87
1960    36    1923       38427.30
1960    37    1923       40844.12
1960    37    1922       37495.87
1960    38    1922       39333.37
1960    38    1921       38383.86
1960    39    1921       39756.81
1960    39    1920       38175.63
1960    40    1920       41386.01
1960    40    1919       35030.38
1960    41    1919       31823.46
1960    41    1918       32237.20
1960    42    1918       33251.80
1960    42    1917       33195.20
1960    43    1917       34044.26
1960    43    1916       33330.47
1960    44    1916       34434.17
1960    44    1915       32326.43
1960    45    1915       33901.76
1960    45    1914       34707.95
1960    46    1914       35591.69
1960    46    1913       34121.32
1960    47    1913       35101.02
1960    47    1912       34250.77
1960    48    1912       34672.60
1960    48    1911       31685.24
1960    49    1911       32949.29
1960    49    1910       32044.34
1960    50    1910       33334.44
1960    50    1909       32705.76
1960    51    1909       33670.35
1960    51    1908       31953.73
1960    52    1908       33544.17
1960    52    1907       31517.72
1960    53    1907       32648.97
1960    53    1906       30739.95
1960    54    1906       32038.04
1960    54    1905       30413.00
1960    55    1905       31460.11
1960    55    1904       29986.60
1961    12    1949       56613.64
1961    12    1948       56100.37
1961    13    1948       58907.62
1961    13    1947       59923.10
1961    14    1947       63726.06
1961    14    1946       63725.82
1961    15    1946       64869.37
1961    15    1945       42590.86
1961    16    1945       49590.59
1961    16    1944       48694.06
1961    17    1944       49211.00
1961    17    1943       47102.17
1961    18    1943       46163.22
1961    18    1942       42664.75
1961    19    1942       43118.56
1961    19    1941       40166.71
1961    20    1941       41969.00
1961    20    1940       41799.33
1961    21    1940       42427.22
1961    21    1939       40672.84
1961    22    1939       41525.34
1961    22    1938       39375.65
1961    23    1938       40996.89
1961    23    1937       37504.30
1961    24    1937       38587.77
1961    24    1936       37677.96
1961    25    1936       38420.07
1961    25    1935       36736.89
1961    26    1935       38205.63
1961    26    1934       37051.21
1961    27    1934       38198.35
1961    27    1933       36496.16
1961    28    1933       37770.27
1961    28    1932       37843.96
1961    29    1932       39484.90
1961    29    1931       37340.33
1961    30    1931       38929.59
1961    30    1930       38797.34
1961    31    1930       39683.87
1961    31    1929       37267.68
1961    32    1929       38689.69
1961    32    1928       37497.16
1961    33    1928       39012.91
1961    33    1927       36592.43
1961    34    1927       38041.32
1961    34    1926       36992.07
1961    35    1926       38203.07
1961    35    1925       37142.34
1961    36    1925       38662.66
1961    36    1924       38114.13
1961    37    1924       39438.29
1961    37    1923       38318.88
1961    38    1923       40811.10
1961    38    1922       37302.63
1961    39    1922       39322.08
1961    39    1921       38313.19
1961    40    1921       39712.50
1961    40    1920       38178.99
1961    41    1920       41356.36
1961    41    1919       35087.54
1961    42    1919       31803.96
1961    42    1918       32237.20
1961    43    1918       33211.69
1961    43    1917       33029.74
1961    44    1917       33997.06
1961    44    1916       33308.83
1961    45    1916       34400.11
1961    45    1915       32274.24
1961    46    1915       33866.92
1961    46    1914       34551.31
1961    47    1914       35514.56
1961    47    1913       34076.98
1961    48    1913       35019.33
1961    48    1912       34113.40
1961    49    1912       34560.19
1961    49    1911       31593.71
1961    50    1911       32881.40
1961    50    1910       32058.56
1961    51    1910       33236.06
1961    51    1909       32619.65
1961    52    1909       33550.99
1961    52    1908       31820.83
1961    53    1908       33417.42
1961    53    1907       31238.03
1961    54    1907       32493.61
1961    54    1906       30610.96
1961    55    1906       31896.90
1961    55    1905       30312.89
1962    12    1950       54779.89
1962    12    1949       53718.36
1962    13    1949       56683.43
1962    13    1948       56140.38
1962    14    1948       58960.36
1962    14    1947       59943.94
1962    15    1947       63786.87
1962    15    1946       63747.63
1962    16    1946       64878.45
1962    16    1945       42602.41
1962    17    1945       49632.01
