state,age,native_born,foreign_born
OH,9,151913,2282
OH,10,147011,2385
OH,11,146950,3905
OH,12,144568,2793
OH,13,146299,3193
OH,14,146411,3945
OH,15,141909,4631
OH,16,147638,2999
OH,17,152404,5879
OH,18,157565,6695
OH,19,143366,8973
OH,20,148384,7849
OH,21,148451,10291
OH,22,136664,5515
OH,23,149454,7334
OH,24,141667,9183
OH,25,157672,11867
OH,26,149931,10727
OH,27,144835,14808
OH,28,140625,13027
OH,29,139285,11581
OH,30,130445,12893
OH,31,131833,13565
OH,32,141618,12671
OH,33,129774,12856
OH,34,135374,10687
OH,35,134339,12514
OH,36,134038,11658
OH,37,138981,10215
OH,38,127371,10536
OH,39,130557,8414
OH,40,126160,10665
OH,41,121595,12997
OH,42,127492,9982
OH,43,112170,12280
OH,44,120853,11830
OH,45,134261,13382
OH,46,139677,9999
OH,47,150994,10712
OH,48,130524,10198
OH,49,134291,9316
OH,50,141509,8441
OH,51,137288,6870
OH,52,150217,8348
OH,53,151463,7918
OH,54,155958,6623
OH,55,149886,8392
OH,56,163787,8610
OH,57,154462,8163
OH,58,156750,7271
OH,59,164315,6875
OH,60,166178,8377
OH,61,149589,7641
OH,62,154366,7034
OH,63,142989,5114
OH,64,142254,5556
OH,65,138356,6313
OH,66,121143,3705
OH,67,118841,5047
OH,68,120690,5482
OH,69,120896,4872
OH,70,124099,3677
OH,71,84290,5735
OH,72,76934,4004
OH,73,81569,3026
OH,74,81782,2651
OH,75,72445,3590
OH,76,62492,3412
OH,77,61745,2581
OH,78,66083,3696
OH,79,64171,2561
OH,80,51094,3490
OH,81,48306,1390
OH,82,45351,1661
OH,83,38569,1528
OH,84,34461,1281
OH,85,30710,842
OH,86,36206,1578
OH,87,29291,1542
OH,88,27866,1170
OH,89,25641,1839
WV,0,16758,78
WV,1,19773,0
WV,2,16545,0
WV,3,20979,146
WV,4,21745,344
WV,5,19758,160
WV,6,18724,117
WV,7,23647,68
WV,8,19908,266
WV,9,21282,240
WV,10,23636,383
WV,11,19850,205
WV,12,19034,0
WV,13,25158,100
WV,14,19448,0
WV,15,21040,78
WV,16,22989,150
WV,17,20121,84
WV,18,27570,343
WV,19,21831,562
WV,20,21142,1697
WV,21,21878,305
WV,22,20772,265
WV,23,21994,375
WV,24,22324,1662
WV,25,24045,760
WV,26,19801,208
WV,27,20024,346
WV,28,18119,694
WV,29,21375,617
WV,30,20932,158
WV,31,17611,210
WV,32,21213,551
WV,33,21365,692
WV,34,19225,134
WV,35,21575,269
WV,36,20649,1332
WV,37,22041,858
WV,38,18556,764
WV,39,21507,902
WV,40,21367,529
WV,41,23675,306
WV,42,23030,607
WV,43,21761,533
WV,44,20121,645
WV,45,22063,1563
WV,46,24246,452
WV,47,23642,975
WV,48,21862,817
WV,49,23134,274
WV,50,24167,476
WV,51,19277,55
WV,52,20975,1603
WV,53,25123,844
WV,54,26926,744
WV,55,24649,281
WV,56,23402,565
WV,57,24344,588
WV,58,23382,538
WV,59,25381,625
WV,60,32607,601
WV,61,28190,366
WV,62,23829,101
WV,63,25032,887
WV,64,26450,580
WV,65,25944,524
WV,66,25439,465
WV,67,22284,290
WV,68,23382,486
WV,69,20655,1032
WV,70,24143,261
WV,71,15819,190
WV,72,15221,225
WV,73,14742,130
WV,74,15388,288
WV,75,14546,29
WV,76,15243,0
WV,77,12094,84
WV,78,11916,284
WV,79,11086,0
WV,80,9021,640
WV,81,8766,468
WV,82,8921,321
WV,83,4914,183
WV,84,5534,0
WV,85,6259,18
WV,86,6659,0
WV,87,4406,76
WV,88,3464,62
WV,89,4322,93
