SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
0,23,4198571,4198859,4216566,4312279,4443715,4655563,4692962,4639623,4549421,4504903,4438724
0,24,4249363,4249609,4243118,4242222,4342062,4472295,4687077,4727273,4673465,4578456,4533776
0,25,4262350,4262583,4288920,4267974,4271553,4369332,4502023,4720482,4760640,4701396,4606281
0,26,4152305,4152598,4160369,4311761,4295651,4297710,4398014,4534640,4752063,4787673,4728714
0,27,4248869,4249132,4236698,4181532,4337435,4320571,4325770,4429797,4565290,4777879,4813980
0,28,4215249,4215502,4247187,4256204,4204927,4359532,4346330,4355768,4458321,4588903,4801711
0,29,4223076,4223292,4209988,4264567,4277615,4225749,4383356,4374175,4382285,4480324,4611070
0,30,4285668,4285877,4303926,4225300,4283270,4296809,4248227,4409166,4399278,4402859,4501282
0,31,3970218,3970416,4042249,4317294,4241565,4299447,4315821,4271733,4431220,4417496,4421549
0,32,3986847,3987041,3967254,4053592,4331495,4255692,4315699,4336582,4291082,4446712,4433749
0,33,3880150,3880318,3933189,3977570,4065734,4343476,4269846,4334080,4353926,4305136,4461246
0,34,3839216,3839372,3821850,3942114,3988622,4075870,4355717,4286357,4349411,4366240,4318192
0,35,3956434,3956625,3947964,3829864,3951867,3997698,4085952,4369587,4299148,4358839,4376401
0,36,3802087,3802236,3829828,3954144,3837924,3959048,4006330,4097338,4379832,4306255,4366923
0,37,3934445,3934593,3896345,3834765,3960899,3844203,3966497,4016464,4106086,4385828,4313086
0,38,4121880,4122089,4079778,3899899,3840318,3965886,3850942,3975186,4024381,4111226,4391406
0,39,4364796,4364949,4323965,4082351,3903922,3844285,3971497,3858343,3981529,4028306,4115771
0,40,4383274,4383450,4386945,4324162,4084648,3906127,3848087,3976967,3863180,3983824,4031314
0,41,4114985,4115155,4163043,4385306,4324443,4085581,3908070,3852433,3980464,3864969,3986156
0,42,4076104,4076260,4082337,4160611,4384058,4323279,4086109,3910645,3854650,3980816,3866067
0,43,4105105,4105285,4093405,4079076,4158255,4380908,4321631,4086686,3910593,3853250,3979609
0,44,4211496,4211684,4178062,4089258,4075927,4154366,4377751,4320358,4085258,3907893,3851155
0,45,4508868,4509044,4438112,4171964,4084573,4070522,4149789,4373961,4316196,4080348,3904041
0,46,4519761,4519941,4529302,4430147,4165313,4077717,4064470,4144580,4368043,4309081,4074459
0,47,4535265,4535450,4535096,4519326,4421446,4157081,4070739,4058161,4137815,4359465,4301318
0,48,4538796,4538968,4534267,4523052,4508452,4410792,4147945,4062643,4049911,4128210,4349714
0,49,4605901,4606060,4598676,4520386,4510206,4495612,4399110,4137833,4052713,4039082,4117603
0,50,4660295,4660457,4645792,4582646,4505720,4495099,4481212,4385725,4125155,4039446,4026474
0,51,4464631,4464779,4498619,4628125,4565482,4488150,4478223,4465234,4370171,4109944,4025069
0,52,4500846,4500963,4480236,4479451,4608768,4545746,4469592,4460502,4447792,4352576,4094079
0,53,4380354,4380489,4439092,4459275,4458809,4587606,4525069,4449929,4440759,4427431,4333375
0,54,4291999,4292120,4288142,4416457,4437155,4436394,4564933,4502864,4428032,4418178,4405567
0,55,4254709,4254809,4258615,4264196,4392433,4412604,4412051,4540553,4478253,4403109,4393983
0,56,4037513,4037601,4092857,4233621,4239081,4365668,4385972,4385823,4513951,4451318,4377130
0,57,3936386,3936450,3946260,4066825,4207066,4211538,4337386,4357770,4357590,4484471,4422810
0,58,3794928,3795015,3802193,3919214,4039562,4177929,4182257,4307288,4327523,4326625,4453038
0,59,3641269,3641349,3694048,3774178,3891097,4009527,4147266,4151179,4275027,4294387,4294024
0,60,3621131,3621214,3616506,3665273,3744816,3860100,3977732,4114449,4117822,4239714,4259361
0,61,3492596,3492656,3519939,3586699,3634742,3712717,3826919,3943386,4079088,4081356,4202894
0,62,3563182,3563260,3494915,3488021,3554736,3601304,3678575,3791492,3907097,4040739,4043396
0,63,3483884,3483943,3652013,3459942,3453979,3519573,3565726,3641819,3753816,3867581,4000235
0,64,2657131,2657194,2705937,3613032,3423248,3416465,3482828,3527662,3602450,3712619,3825765
0,65,2680761,2680815,2678384,2674636,3572333,3383252,3377646,3443249,3487278,3560160,3669600
0,66,2639141,2639209,2621243,2645187,2641789,3527836,3341609,3336059,3401348,3444063,3516436
0,67,2649365,2649426,2693617,2585272,2609972,2606024,3480983,3296821,3291714,3356013,3398755
0,68,2323672,2323736,2359748,2653141,2546904,2571601,2568311,3431071,3249412,3244182,3307833
0,69,2142324,2142381,2167780,2321074,2610392,2505262,2531221,2527820,3377704,3198582,3194269
0,70,2043121,2043178,2062528,2128951,2280611,2563981,2462460,2487798,2485189,3320393,3144466
0,71,1949323,1949391,1953545,2022303,2088775,2236637,2517174,2416513,2443419,2440099,3260552
0,72,1864275,1864324,1883778,1911721,1980516,2044816,2192013,2465904,2369270,2395620,2392283
0,73,1736960,1737022,1750273,1839514,1868201,1934694,1999978,2142810,2412822,2318273,2344633
0,74,1684487,1684563,1685969,1705013,1793547,1820505,1887914,1950617,2091825,2355298,2263489
0,75,1620077,1620158,1631858,1638171,1658243,1743292,1772007,1836635,1899583,2036694,2293604
0,76,1471070,1471157,1481686,1580932,1588625,1607051,1692284,1718862,1783719,1844686,1978012
0,77,1455330,1455414,1449144,1430449,1528226,1534528,1555048,1636338,1664040,1726841,1786181
0,78,1400123,1400205,1402187,1394194,1377628,1470808,1479551,1498120,1578721,1605304,1666402
0,79,1371195,1371312,1354927,1343437,1337551,1320178,1412549,1419595,1439602,1517003,1542867
0,80,1308511,1308608,1319737,1292169,1282872,1276090,1262012,1349127,1358070,1377095,1451583
0,81,1212865,1212976,1212614,1252185,1227637,1217537,1214231,1199043,1284470,1292937,1311488
0,82,1161421,1161546,1158364,1143712,1183074,1158273,1151948,1147239,1134886,1215766,1224165
0,83,1074809,1074941,1081451,1085157,1073311,1108791,1088632,1080801,1079060,1067044,1143669
0,84,985721,985854,987041,1005202,1010674,997909,1034570,1013576,1008889,1007456,996403
0,85,914723,914871,915028,909276,928296,931565,923190,955170,938258,933883,933260
0,86,814211,814341,821557,834819,831653,847475,853929,844041,876311,860644,857115
0,87,712908,713046,721221,741394,755792,751027,769072,772675,766435,795887,781990
0,88,640619,640765,636663,643159,663520,674795,673928,688044,693994,688305,715379
0,89,537998,538160,546207,560012,568485,584825,598390,595185,610573,615862,611251
0,90,435563,435695,448338,473804,487817,494117,511592,521392,520996,534601,539658
0,91,344987,345128,344452,382641,406758,417092,426027,438974,450017,449471,461798
0,92,281389,281498,288836,289218,322900,342273,353533,359665,372864,382354,382081
0,93,216978,217087,219062,238006,240088,266525,285467,292763,300374,311381,319838
0,94,169449,169525,170780,176651,193754,194772,217821,232218,239615,246146,255397
0,95,129717,129792,131081,135042,140608,153823,156572,173128,186678,192195,198075
0,96,95223,95288,97166,101251,105384,108873,120940,122354,135740,146772,150910
0,97,68138,68168,68894,73260,77147,79912,83389,92140,94466,103947,113174
0,98,45900,45938,47034,50661,54488,56992,59979,61687,69296,71460,77872
0,99,32266,32289,32179,33632,36765,39248,41679,43464,44967,50722,52778
0,100,53364,53412,54410,57703,61803,66139,72136,76798,82379,86784,93927
0,999,308745538,308758105,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434
1,0,2014276,2014278,2018474,2028430,2007743,2009724,2024510,2037643,2021693,1991849,1968505
1,1,2030853,2030861,2020235,2025272,2035214,2015720,2018513,2033709,2047521,2031036,2001387
1,2,2092198,2092202,2088545,2026391,2031333,2042268,2023750,2027455,2043165,2056328,2040071
1,3,2104550,2104555,2101149,2093789,2031551,2037081,2049251,2031614,2035766,2050824,2064235
1,4,2077550,2077556,2084214,2105836,2098501,2036782,2043528,2056377,2039084,2042707,2058004
1,5,2072094,2072102,2076481,2089022,2110630,2103606,2042786,2050282,2063414,2045608,2049511
1,6,2075319,2075330,2079365,2081475,2093846,2115672,2109357,2049269,2057031,2069663,2052229
1,7,2057076,2057082,2063100,2084121,2086088,2098705,2121430,2115700,2055836,2063187,2076156
1,8,2065453,2065459,2054386,2067752,2088716,2090823,2104331,2127673,2122190,2061858,2069621
1,9,2119696,2119702,2106966,2058993,2072434,2093580,2096382,2110629,2134235,2128306,2068473
1,10,2135996,2136007,2142102,2111581,2063710,2077256,2099051,2102659,2117162,2140293,2134896
1,11,2103264,2103284,2104759,2146791,2116398,2068643,2082849,2105239,2109124,2123122,2146785
1,12,2100145,2100156,2103622,2109471,2151652,2121417,2074315,2089028,2111734,2115126,2129623
1,13,2104914,2104932,2104896,2108654,2114519,2156833,2127338,2080793,2095866,2118067,2121925
1,14,2135543,2135596,2122849,2110397,2114080,2120218,2163573,2134547,2088424,2102906,2125611
1,15,2177022,2177104,2170359,2129082,2116501,2120657,2128124,2172003,2143316,2096690,2111626
1,16,2216034,2216153,2214899,2178520,2137004,2124859,2130073,2137939,2182224,2152936,2106746
1,17,2263153,2263294,2252708,2226169,2189283,2148029,2136860,2142389,2150928,2194348,2165445
1,18,2305473,2305664,2305396,2265850,2238704,2202467,2162271,2152179,2158419,2165658,2209794
1,19,2341984,2342296,2334596,2320135,2279724,2252714,2218097,2179093,2168557,2173863,2181297
1,20,2308319,2308579,2331596,2348694,2335801,2293201,2266737,2233576,2194194,2181385,2186613
1,21,2223198,2223396,2240843,2344395,2366673,2349953,2307313,2282517,2248997,2206569,2193614
1,22,2177797,2178023,2187907,2252173,2361225,2382388,2365346,2324623,2299500,2262883,2219586
1,23,2140799,2141015,2150744,2198326,2267594,2375806,2398453,2382897,2342064,2313281,2276330
1,24,2164063,2164238,2161093,2160503,2212337,2280649,2390079,2414932,2398533,2354506,2325404
1,25,2161308,2161475,2176904,2169696,2173964,2224097,2293548,2405454,2430029,2410032,2365722
1,26,2097088,2097305,2102105,2184501,2182419,2185046,2236677,2308343,2419331,2441090,2421037
1,27,2140651,2140841,2134977,2109180,2195886,2193168,2197381,2251108,2321904,2429709,2451655
1,28,2118605,2118796,2134787,2141409,2119495,2205163,2204570,2211453,2263961,2331697,2439423
1,29,2117939,2118098,2112134,2140652,2151210,2128510,2215778,2217929,2223644,2273373,2341001
1,30,2160802,2160945,2167253,2117270,2149143,2159534,2138487,2228011,2229540,2232572,2282299
1,31,1988155,1988284,2026266,2171683,2124527,2156290,2168145,2150105,2238557,2237945,2241062
1,32,1994476,1994606,1985973,2029857,2178064,2130833,2163823,2178643,2159517,2245784,2245454
1,33,1936863,1936983,1963430,1989386,2035011,2183095,2137089,2172840,2186666,2165649,2252017
1,34,1916204,1916311,1908550,1966037,1994116,2039053,2188226,2144864,2179705,2191802,2171039
1,35,1980916,1981032,1974444,1910820,1970201,1997672,2043201,2194562,2150464,2183195,2195500
1,36,1890595,1890693,1907175,1975802,1913869,1972420,2000888,2048178,2198549,2152568,2185835
1,37,1953386,1953488,1934291,1907979,1978180,1915689,1974933,2005183,2051368,2200099,2154545
1,38,2049720,2049866,2027789,1934316,1909739,1979408,1917835,1978349,2007943,2052409,2201174
1,39,2167405,2167500,2148448,2027628,1935240,1910632,1981213,1920619,1980240,2008416,2053136
1,40,2191249,2191367,2189231,2146782,2027692,1935245,1911625,1983091,1921928,1980069,2008548
1,41,2047818,2047931,2073699,2186386,2145819,2027076,1935214,1912805,1983519,1921339,1979715
1,42,2028653,2028755,2031573,2070786,2184544,2143934,2026315,1935464,1912705,1982205,1920426
1,43,2035990,2036118,2030765,2028346,2068223,2181430,2141952,2025757,1934366,1910842,1980368
1,44,2090267,2090388,2074347,2027001,2025279,2064715,2178426,2140291,2023807,1931620,1908353
1,45,2237450,2237564,2201662,2069350,2023312,2020951,2060846,2175121,2136459,2019696,1928049
