pop,age,lx
CA,93,17112
CA,94,14027
CA,95,11205
CA,96,8790
CA,97,6722
CA,98,5002
CA,99,3615
CA,100,2534
CO,0,100000
CO,1,99542
CO,2,99509
CO,3,99484
CO,4,99468
CO,5,99456
CO,6,99438
CO,7,99418
CO,8,99408
CO,9,99395
CO,10,99392
CO,11,99376
CO,12,99359
CO,13,99337
CO,14,99311
CO,15,99280
CO,16,99242
CO,17,99183
CO,18,99119
CO,19,99041
CO,20,98918
CO,21,98823
CO,22,98700
CO,23,98580
CO,24,98457
CO,25,98343
CO,26,98222
CO,27,98085
CO,28,97942
CO,29,97792
CO,30,97639
CO,31,97492
CO,32,97330
CO,33,97153
CO,34,96963
CO,35,96757
CO,36,96574
CO,37,96361
CO,38,96157
CO,39,95948
CO,40,95743
CO,41,95551
CO,42,95310
CO,43,95082
CO,44,94827
CO,45,94546
CO,46,94268
CO,47,94002
CO,48,93704
CO,49,93377
CO,50,93014
CO,51,92653
CO,52,92298
CO,53,91896
CO,54,91471
CO,55,90987
CO,56,90427
CO,57,89884
CO,58,89317
CO,59,88637
CO,60,87930
CO,61,87230
CO,62,86437
CO,63,85614
CO,64,84771
CO,65,83856
CO,66,82825
CO,67,81839
CO,68,80685
CO,69,79510
CO,70,78293
CO,71,76999
CO,72,75658
CO,73,74178
CO,74,72605
CO,75,70893
CO,76,68960
CO,77,67041
CO,78,64792
CO,79,62456
CO,80,59821
CO,81,57082
CO,82,54106
CO,83,50836
CO,84,47490
CO,85,43835
CO,86,40236
CO,87,36421
CO,88,32544
CO,89,28647
CO,90,24729
CO,91,20961
CO,92,17588
CO,93,14412
CO,94,11458
CO,95,8869
CO,96,6724
CO,97,4954
CO,98,3540
CO,99,2450
CO,100,1640
CT,0,100000
CT,1,99565
CT,2,99539
CT,3,99526
CT,4,99518
CT,5,99499
CT,6,99478
CT,7,99473
CT,8,99455
CT,9,99443
CT,10,99435
CT,11,99425
CT,12,99418
CT,13,99409
CT,14,99402
CT,15,99386
CT,16,99365
CT,17,99320
CT,18,99263
CT,19,99227
CT,20,99179
CT,21,99109
CT,22,99049
CT,23,98980
CT,24,98884
CT,25,98803
CT,26,98685
CT,27,98580
CT,28,98485
CT,29,98343
CT,30,98206
CT,31,98096
CT,32,97944
CT,33,97785
CT,34,97617
CT,35,97405
CT,36,97211
CT,37,96989
CT,38,96801
CT,39,96607
CT,40,96383
CT,41,96167
CT,42,95952
CT,43,95670
CT,44,95465
CT,45,95197
CT,46,94976
CT,47,94700
CT,48,94452
CT,49,94194
CT,50,93895
CT,51,93558
CT,52,93185
CT,53,92795
CT,54,92370
CT,55,91906
CT,56,91468
CT,57,90913
CT,58,90304
CT,59,89709
CT,60,89075
CT,61,88358
CT,62,87630
CT,63,86877
CT,64,86060
CT,65,85160
CT,66,84234
CT,67,83216
CT,68,82226
CT,69,81030
CT,70,79827
CT,71,78527
CT,72,77160
CT,73,75757
CT,74,74171
CT,75,72540
CT,76,70538
CT,77,68579
CT,78,66529
CT,79,64319
CT,80,61721
CT,81,59068
CT,82,56278
CT,83,53107
CT,84,49810
CT,85,46411
CT,86,42689
CT,87,38805
CT,88,35041
CT,89,31158
CT,90,27068
CT,91,23205
CT,92,19538
CT,93,16281
CT,94,13244
CT,95,10290
CT,96,7925
CT,97,5933
CT,98,4311
CT,99,3034
CT,100,2065
DC,0,100000
DC,1,99536
DC,2,99474
DC,3,99410
DC,4,99384
DC,5,99358
DC,6,99345
DC,7,99345
DC,8,99332
DC,9,99319
DC,10,99305
DC,11,99291
DC,12,99291
DC,13,99275
DC,14,99259
DC,15,99225
DC,16,99105
DC,17,99014
DC,18,98941
DC,19,98871
DC,20,98793
DC,21,98652
DC,22,98570
DC,23,98466
DC,24,98392
DC,25,98264
DC,26,98188
DC,27,98074
DC,28,97984
DC,29,97884
DC,30,97760
DC,31,97671
DC,32,97526
DC,33,97348
DC,34,97197
DC,35,97088
DC,36,96932
DC,37,96798
DC,38,96629
DC,39,96436
DC,40,96201
DC,41,95964
DC,42,95687
DC,43,95452
DC,44,95109
DC,45,94788
DC,46,94527
DC,47,94085
DC,48,93681
DC,49,93224
DC,50,92875
DC,51,92384
DC,52,91965
DC,53,91368
DC,54,90810
DC,55,90078
DC,56,89312
DC,57,88226
DC,58,87213
DC,59,86191
DC,60,84982
DC,61,84036
DC,62,82776
DC,63,81020
DC,64,79779
DC,65,78447
DC,66,76986
DC,67,75225
DC,68,73612
DC,69,72110
DC,70,70483
DC,71,68814
DC,72,67117
DC,73,65380
DC,74,63321
DC,75,61658
DC,76,59950
DC,77,57995
DC,78,55726
DC,79,53662
