..................................
2022 period life tables for both sexes combined
downloaded from www.mortality.org on 31 Jan 2026 
..................................
pop,age,lx
Spain,6,99671
Spain,7,99662
Spain,8,99655
Spain,9,99647
Spain,10,99641
Spain,11,99632
Spain,12,99626
Spain,13,99618
Spain,14,99606
Spain,15,99594
Spain,16,99581
Spain,17,99564
Spain,18,99546
Spain,19,99526
Spain,20,99502
Spain,21,99478
Spain,22,99447
Spain,23,99419
Spain,24,99393
Spain,25,99361
Spain,26,99334
Spain,27,99308
Spain,28,99280
Spain,29,99251
Spain,30,99217
Spain,31,99182
Spain,32,99148
Spain,33,99110
Spain,34,99063
Spain,35,99010
Spain,36,98962
Spain,37,98911
Spain,38,98856
Spain,39,98798
Spain,40,98733
Spain,41,98659
Spain,42,98579
Spain,43,98493
Spain,44,98398
Spain,45,98297
Spain,46,98186
Spain,47,98062
Spain,48,97934
Spain,49,97783
Spain,50,97614
Spain,51,97420
Spain,52,97196
Spain,53,96950
Spain,54,96670
Spain,55,96371
Spain,56,96036
Spain,57,95657
Spain,58,95240
Spain,59,94798
Spain,60,94300
Spain,61,93748
Spain,62,93163
Spain,63,92532
Spain,64,91840
Spain,65,91089
Spain,66,90258
Spain,67,89400
Spain,68,88474
Spain,69,87497
Spain,70,86408
Spain,71,85266
Spain,72,84033
Spain,73,82714
Spain,74,81291
Spain,75,79755
Spain,76,78047
Spain,77,76219
Spain,78,74236
Spain,79,72063
Spain,80,69671
Spain,81,67083
Spain,82,64312
Spain,83,61253
Spain,84,57936
Spain,85,54320
Spain,86,50429
Spain,87,46415
Spain,88,42132
Spain,89,37672
Spain,90,33122
Spain,91,28557
Spain,92,24125
Spain,93,19965
Spain,94,16148
Spain,95,12754
Spain,96,9787
Spain,97,7280
Spain,98,5239
Spain,99,3638
Spain,100,2434
UK,0,100000
UK,1,99614
UK,2,99590
UK,3,99575
UK,4,99565
UK,5,99556
UK,6,99547
UK,7,99539
UK,8,99533
UK,9,99527
UK,10,99519
UK,11,99513
UK,12,99505
UK,13,99496
UK,14,99484
UK,15,99473
UK,16,99459
UK,17,99442
UK,18,99418
UK,19,99389
UK,20,99356
UK,21,99322
UK,22,99282
UK,23,99246
UK,24,99205
UK,25,99166
UK,26,99126
UK,27,99080
UK,28,99033
UK,29,98985
UK,30,98931
UK,31,98874
UK,32,98813
UK,33,98746
UK,34,98674
UK,35,98599
UK,36,98520
UK,37,98434
UK,38,98338
UK,39,98230
UK,40,98106
UK,41,97978
UK,42,97833
UK,43,97678
UK,44,97529
UK,45,97364
UK,46,97172
UK,47,96965
UK,48,96737
UK,49,96496
UK,50,96235
UK,51,95945
UK,52,95634
UK,53,95298
UK,54,94953
UK,55,94567
UK,56,94159
UK,57,93718
UK,58,93231
UK,59,92717
UK,60,92170
UK,61,91580
UK,62,90947
UK,63,90238
UK,64,89474
UK,65,88634
UK,66,87735
UK,67,86738
UK,68,85665
UK,69,84475
UK,70,83228
UK,71,81877
UK,72,80423
UK,73,78853
UK,74,77191
UK,75,75387
UK,76,73430
UK,77,71315
UK,78,68982
UK,79,66435
UK,80,63740
UK,81,60815
UK,82,57644
UK,83,54238
UK,84,50703
UK,85,47040
UK,86,43169
UK,87,39160
UK,88,35075
UK,89,30961
UK,90,26869
UK,91,22838
UK,92,19000
UK,93,15467
UK,94,12291
UK,95,9549
UK,96,7224
UK,97,5308
UK,98,3782
UK,99,2608
UK,100,1738
