United States, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 17/04/2019
Year   Age   Cohort      ASFR
1933   12-       .    0.00004
1933   13     1920    0.00032
1933   13     1919    0.00055
1933   14     1919    0.00141
1933   14     1918    0.00214
1933   15     1918    0.00540
1933   15     1917    0.00805
1933   16     1917    0.01603
1933   16     1916    0.02149
1933   17     1916    0.03450
1933   17     1915    0.04243
1933   18     1915    0.06133
1933   18     1914    0.07042
1933   19     1914    0.08418
1933   19     1913    0.09021
1933   20     1913    0.09977
1933   20     1912    0.10296
1933   21     1912    0.10551
1933   21     1911    0.10728
1933   22     1911    0.11255
1933   22     1910    0.11443
1933   23     1910    0.11775
1933   23     1909    0.11795
1933   24     1909    0.11512
1933   24     1908    0.11441
1933   25     1908    0.11439
1933   25     1907    0.11336
1933   26     1907    0.10980
1933   26     1906    0.10764
1933   27     1906    0.10164
1933   27     1905    0.10072
1933   28     1905    0.10375
1933   28     1904    0.10190
1933   29     1904    0.09191
1933   29     1903    0.08995
1933   30     1903    0.09214
1933   30     1902    0.08800
1933   31     1902    0.07015
1933   31     1901    0.06865
1933   32     1901    0.07754
1933   32     1900    0.07873
1933   33     1900    0.07784
1933   33     1899    0.07441
1933   34     1899    0.06124
1933   34     1898    0.05901
1933   35     1898    0.06063
1933   35     1897    0.05956
1933   36     1897    0.05522
1933   36     1896    0.05310
1933   37     1896    0.04792
1933   37     1895    0.04703
1933   38     1895    0.04858
1933   38     1894    0.04652
1933   39     1894    0.03856
1933   39     1893    0.03593
1933   40     1893    0.03249
1933   40     1892    0.02906
1933   41     1892    0.02036
1933   41     1891    0.01896
1933   42     1891    0.01948
1933   42     1890    0.01804
1933   43     1890    0.01372
1933   43     1889    0.01192
1933   44     1889    0.00865
1933   44     1888    0.00749
1933   45     1888    0.00580
1933   45     1887    0.00470
1933   46     1887    0.00273
1933   46     1886    0.00216
1933   47     1886    0.00137
1933   47     1885    0.00116
1933   48     1885    0.00089
1933   48     1884    0.00072
1933   49     1884    0.00044
1933   49     1883    0.00030
1933   50     1883    0.00011
1933   50     1882    0.00007
1933   51     1882    0.00003
1933   51     1881    0.00002
1933   52     1881    0.00003
1933   52     1880    0.00003
1933   53     1880    0.00003
1933   53     1879    0.00003
1933   54     1879    0.00003
1933   54     1878    0.00001
1933   55+       .    0.00000
1934   12-       .    0.00002
1934   13     1921    0.00026
1934   13     1920    0.00055
1934   14     1920    0.00156
1934   14     1919    0.00241
1934   15     1919    0.00581
1934   15     1918    0.00850
1934   16     1918    0.01703
1934   16     1917    0.02282
1934   17     1917    0.03647
1934   17     1916    0.04480
1934   18     1916    0.06481
1934   18     1915    0.07436
1934   19     1915    0.08838
1934   19     1914    0.09474
1934   20     1914    0.10568
1934   20     1913    0.10930
1934   21     1913    0.11219
1934   21     1912    0.11374
1934   22     1912    0.11749
1934   22     1911    0.11865
1934   23     1911    0.12003
1934   23     1910    0.12065
1934   24     1910    0.12251
1934   24     1909    0.12165
1934   25     1909    0.11603
1934   25     1908    0.11468
1934   26     1908    0.11489
1934   26     1907    0.11308
1934   27     1907    0.10553
1934   27     1906    0.10420
1934   28     1906    0.10643
1934   28     1905    0.10465
1934   29     1905    0.09577
1934   29     1904    0.09387
1934   30     1904    0.09543
1934   30     1903    0.09114
1934   31     1903    0.07360
1934   31     1902    0.07116
1934   32     1902    0.07564
1934   32     1901    0.07518
1934   33     1901    0.07011
1934   33     1900    0.06975
1934   34     1900    0.07381
1934   34     1899    0.07112
1934   35     1899    0.05808
1934   35     1898    0.05543
1934   36     1898    0.05490
1934   36     1897    0.05312
1934   37     1897    0.04710
1934   37     1896    0.04630
1934   38     1896    0.04864
1934   38     1895    0.04675
1934   39     1895    0.03893
1934   39     1894    0.03613
1934   40     1894    0.03195
1934   40     1893    0.02855
1934   41     1893    0.02031
1934   41     1892    0.01896
1934   42     1892    0.01953
1934   42     1891    0.01795
1934   43     1891    0.01322
1934   43     1890    0.01146
1934   44     1890    0.00848
1934   44     1889    0.00729
1934   45     1889    0.00540
1934   45     1888    0.00440
1934   46     1888    0.00269
1934   46     1887    0.00214
1934   47     1887    0.00131
1934   47     1886    0.00113
1934   48     1886    0.00096
1934   48     1885    0.00078
1934   49     1885    0.00044
1934   49     1884    0.00031
1934   50     1884    0.00014
1934   50     1883    0.00009
1934   51     1883    0.00003
1934   51     1882    0.00002
1934   52     1882    0.00002
1934   52     1881    0.00002
1934   53     1881    0.00001
1934   53     1880    0.00001
1934   54     1880    0.00002
1934   54     1879    0.00001
1934   55+       .    0.00000
1935   12-       .    0.00002
1935   13     1922    0.00030
1935   13     1921    0.00058
1935   14     1921    0.00165
1935   14     1920    0.00255
1935   15     1920    0.00628
1935   15     1919    0.00919
1935   16     1919    0.01764
1935   16     1918    0.02331
1935   17     1918    0.03697
1935   17     1917    0.04523
1935   18     1917    0.06482
1935   18     1916    0.07426
1935   19     1916    0.08864
1935   19     1915    0.09512
1935   20     1915    0.10599
1935   20     1914    0.10974
1935   21     1914    0.11337
1935   21     1913    0.11506
1935   22     1913    0.11868
1935   22     1912    0.11962
1935   23     1912    0.12036
1935   23     1911    0.12008
1935   24     1911    0.11810
1935   24     1910    0.11746
1935   25     1910    0.11728
1935   25     1909    0.11583
1935   26     1909    0.11031
1935   26     1908    0.10840
1935   27     1908    0.10549
1935   27     1907    0.10464
1935   28     1907    0.10519
1935   28     1906    0.10301
1935   29     1906    0.09367
1935   29     1905    0.09183
1935   30     1905    0.09411
1935   30     1904    0.09010
1935   31     1904    0.07310
1935   31     1903    0.07058
1935   32     1903    0.07468
1935   32     1902    0.07307
1935   33     1902    0.06418
1935   33     1901    0.06265
1935   34     1901    0.06320
1935   34     1900    0.06352
1935   35     1900    0.06638
1935   35     1899    0.06346
1935   36     1899    0.05072
1935   36     1898    0.04770
1935   37     1898    0.04458
1935   37     1897    0.04401
1935   38     1897    0.04567
1935   38     1896    0.04395
1935   39     1896    0.03695
1935   39     1895    0.03450
1935   40     1895    0.03104
1935   40     1894    0.02769
1935   41     1894    0.01927
1935   41     1893    0.01791
1935   42     1893    0.01839
1935   42     1892    0.01689
1935   43     1892    0.01251
1935   43     1891    0.01077
1935   44     1891    0.00774
1935   44     1890    0.00666
1935   45     1890    0.00510
1935   45     1889    0.00415
1935   46     1889    0.00245
