United States, Period fertility rates by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 07/04/2021
Year   Age   Cohort      ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1933   12-       .    0.00004     0.00004     0.00000     0.00000     0.00000     0.00000
1933   13     1920    0.00032     0.00032     0.00000     0.00000     0.00000     0.00000
1933   13     1919    0.00055     0.00055     0.00000     0.00000     0.00000     0.00000
1933   14     1919    0.00141     0.00141     0.00000     0.00000     0.00000     0.00000
1933   14     1918    0.00214     0.00212     0.00001     0.00000     0.00000     0.00000
1933   15     1918    0.00540     0.00525     0.00016     0.00000     0.00000     0.00000
1933   15     1917    0.00805     0.00771     0.00034     0.00000     0.00000     0.00000
1933   16     1917    0.01603     0.01505     0.00096     0.00002     0.00000     0.00000
1933   16     1916    0.02149     0.01986     0.00147     0.00016     0.00001     0.00000
1933   17     1916    0.03450     0.03039     0.00374     0.00033     0.00004     0.00000
1933   17     1915    0.04243     0.03636     0.00554     0.00044     0.00007     0.00003
1933   18     1915    0.06133     0.04900     0.01089     0.00123     0.00017     0.00004
1933   18     1914    0.07042     0.05401     0.01425     0.00186     0.00025     0.00005
1933   19     1914    0.08418     0.05893     0.02083     0.00379     0.00053     0.00011
1933   19     1913    0.09021     0.05999     0.02416     0.00514     0.00075     0.00017
1933   20     1913    0.09977     0.05903     0.03003     0.00855     0.00168     0.00047
1933   20     1912    0.10296     0.05759     0.03204     0.01036     0.00229     0.00068
1933   21     1912    0.10551     0.05402     0.03388     0.01334     0.00334     0.00093
1933   21     1911    0.10728     0.05236     0.03474     0.01496     0.00407     0.00116
1933   22     1911    0.11255     0.04912     0.03644     0.01850     0.00629     0.00220
1933   22     1910    0.11443     0.04745     0.03670     0.01995     0.00749     0.00285
1933   23     1910    0.11775     0.04472     0.03667     0.02221     0.00990     0.00424
1933   23     1909    0.11795     0.04290     0.03619     0.02277     0.01100     0.00509
1933   24     1909    0.11512     0.03867     0.03436     0.02252     0.01250     0.00707
1933   24     1908    0.11441     0.03696     0.03366     0.02246     0.01313     0.00821
1933   25     1908    0.11439     0.03418     0.03270     0.02255     0.01407     0.01089
1933   25     1907    0.11336     0.03262     0.03192     0.02228     0.01436     0.01218
1933   26     1907    0.10980     0.02952     0.03007     0.02131     0.01463     0.01426
1933   26     1906    0.10764     0.02781     0.02902     0.02083     0.01466     0.01532
1933   27     1906    0.10164     0.02398     0.02642     0.01968     0.01439     0.01716
1933   27     1905    0.10072     0.02267     0.02566     0.01942     0.01448     0.01848
1933   28     1905    0.10375     0.02100     0.02510     0.01963     0.01533     0.02269
