Austria, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 05/08/2021
Year   Age    Cohort           Total
1951    12-        .            0.00
1951    13      1938            0.00
1951    13      1937            0.00
1951    14      1937            6.01
1951    14      1936            8.99
1951    15      1936           32.11
1951    15      1935           29.89
1951    16      1935          149.52
1951    16      1934          204.48
1951    17      1934          484.09
1951    17      1933          635.91
1951    18      1933         1015.87
1951    18      1932         1240.13
1951    19      1932         1616.40
1951    19      1931         1941.60
1951    20      1931         2258.01
1951    20      1930         2408.99
1951    21      1930         2643.56
1951    21      1929         2672.44
1951    22      1929         2701.85
1951    22      1928         3000.15
1951    23      1928         2981.53
1951    23      1927         2887.47
1951    24      1927         2990.97
1951    24      1926         3230.03
1951    25      1926         3172.61
1951    25      1925         3373.39
1951    26      1925         3297.87
1951    26      1924         3403.13
1951    27      1924         3403.43
1951    27      1923         3400.57
1951    28      1923         3209.55
1951    28      1922         3270.45
1951    29      1922         3127.18
1951    29      1921         3315.82
1951    30      1921         2969.55
1951    30      1920         2811.45
1951    31      1920         2541.80
1951    31      1919         2329.20
1951    32      1919         1642.88
1951    32      1918         1383.12
1951    33      1918         1076.50
1951    33      1917         1056.50
1951    34      1917         1041.30
1951    34      1916         1064.70
1951    35      1916          973.96
1951    35      1915         1117.04
1951    36      1915         1172.20
1951    36      1914         1450.80
1951    37      1914         1314.52
1951    37      1913         1335.48
1951    38      1913         1104.10
1951    38      1912         1199.90
1951    39      1912          990.11
1951    39      1911          979.89
1951    40      1911          803.19
1951    40      1910          804.81
1951    41      1910          595.39
1951    41      1909          641.61
1951    42      1909          449.88
1951    42      1908          456.12
1951    43      1908          320.66
1951    43      1907          282.34
1951    44      1907          157.67
1951    44      1906          190.33
1951    45      1906          114.36
1951    45      1905           86.64
1951    46      1905           54.69
1951    46      1904           41.31
1951    47      1904           26.84
1951    47      1903           24.16
1951    48      1903            8.92
1951    48      1902           13.08
1951    49      1902            4.96
1951    49      1901            4.65
1951    50      1901            4.37
1951    50      1900            4.99
1951    51      1900            3.03
1951    51      1899            0.76
1951    52      1899            0.24
1951    52      1898            0.00
1951    53      1898            0.00
1951    53      1897            0.00
1951    54      1897            0.00
1951    54      1896            0.00
1951    55+        .            0.00
1952    12-        .            0.00
1952    13      1939            0.00
1952    13      1938            2.00
1952    14      1938            6.00
1952    14      1937           10.00
1952    15      1937           20.01
1952    15      1936           48.99
1952    16      1936          133.06
1952    16      1935          199.94
1952    17      1935          453.24
1952    17      1934          589.76
1952    18      1934          965.66
1952    18      1933         1167.34
1952    19      1933         1636.42
1952    19      1932         1969.58
1952    20      1932         2302.58
1952    20      1931         2273.42
1952    21      1931         2551.90
1952    21      1930         2749.10
1952    22      1930         2914.43
1952    22      1929         2945.57
1952    23      1929         2900.02
1952    23      1928         2981.98
1952    24      1928         3107.68
1952    24      1927         3043.32
1952    25      1927         3015.33
1952    25      1926         3211.67
1952    26      1926         3234.08
1952    26      1925         3473.92
1952    27      1925         3358.93
1952    27      1924         3365.07
1952    28      1924         3255.73
