Sweden, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 14/04/2023
Year    Age        Total
1891     12-        0.00
1891     13         0.99
1891     14         0.99
1891     15        20.78
1891     16        92.97
1891     17       271.99
1891     18       642.88
1891     19      1357.97
1891     20      2341.09
1891     21      2979.02
1891     22      3642.68
1891     23      4276.66
1891     24      5646.50
1891     25      6560.38
1891     26      7034.14
1891     27      7397.12
1891     28      7318.99
1891     29      7254.70
1891     30      7629.55
1891     31      7483.17
1891     32      7413.94
1891     33      6889.74
1891     34      6072.79
1891     35      6014.43
1891     36      5961.02
1891     37      5763.21
1891     38      4682.17
1891     39      4530.85
1891     40      4248.97
1891     41      3594.22
1891     42      2902.87
1891     43      2178.88
1891     44      1407.41
1891     45       895.09
1891     46       545.95
1891     47       251.23
1891     48       141.44
1891     49        45.50
1891     50        23.73
1891     51         0.00
1891     52         0.00
1891     53         0.00
1891     54         0.00
1891     55+        0.00
1892     12-        0.00
1892     13         0.00
1892     14         1.99
1892     15        16.82
1892     16        71.23
1892     17       266.15
1892     18       661.91
1892     19      1316.90
1892     20      2241.99
1892     21      3134.43
1892     22      3900.24
1892     23      4129.78
1892     24      4872.83
1892     25      5945.34
1892     26      6513.25
1892     27      6948.59
1892     28      7297.86
1892     29      7081.18
1892     30      7051.49
1892     31      6990.14
1892     32      7307.74
1892     33      6702.23
1892     34      6308.44
1892     35      5797.91
1892     36      5514.95
1892     37      5241.86
1892     38      4939.11
1892     39      4159.46
1892     40      3800.30
1892     41      3226.45
1892     42      2801.01
1892     43      2127.23
1892     44      1444.53
1892     45       887.50
1892     46       487.77
1892     47       249.33
1892     48       118.72
1892     49        51.45
1892     50        12.86
1892     51         0.99
1892     52         0.00
1892     53         0.00
1892     54         0.00
1892     55+        0.00
1893     12-        0.00
1893     13         0.00
1893     14         0.99
1893     15        16.81
1893     16        88.98
1893     17       312.43
1893     18       674.30
1893     19      1390.13
1893     20      2273.05
1893     21      3097.63
1893     22      3914.31
1893     23      4613.32
1893     24      4787.34
1893     25      5254.01
1893     26      6337.65
1893     27      6968.44
1893     28      7002.05
1893     29      7487.52
1893     30      7355.02
1893     31      6903.18
1893     32      7141.46
1893     33      7024.79
1893     34      6726.20
1893     35      6312.92
1893     36      5635.66
1893     37      5267.86
1893     38      5061.21
1893     39      4735.93
1893     40      3843.12
1893     41      3228.14
1893     42      2804.98
1893     43      2228.56
1893     44      1447.47
1893     45       912.58
1893     46       470.62
1893     47       228.39
1893     48       114.69
1893     49        48.45
1893     50        16.80
1893     51         0.99
1893     52         0.99
1893     53         0.00
1893     54         0.00
1893     55+        0.00
1894     12-        0.00
1894     13         0.00
1894     14         0.00
1894     15         9.89
1894     16        67.26
1894     17       276.94
1894     18       734.85
1894     19      1431.14
1894     20      2209.52
1894     21      3129.32
1894     22      4077.82
1894     23      4904.66
1894     24      5286.43
1894     25      5202.37
1894     26      5634.57
1894     27      6443.60
1894     28      6998.46
1894     29      7239.79
1894     30      7473.20
1894     31      6988.57
1894     32      6795.70
1894     33      6784.83
1894     34      6746.25
1894     35      6363.49
1894     36      5914.47
1894     37      5251.82
1894     38      4916.53
1894     39      4673.22
1894     40      4381.45
1894     41      3213.40
1894     42      2709.97
1894     43      2112.59
1894     44      1578.52
1894     45       996.95
1894     46       452.98
1894     47       235.39
1894     48       100.88
1894     49        51.44
1894     50        20.77
1894     51         0.00
1894     52         0.00
1894     53         0.00
1894     54         0.00
1894     55+        0.00
1895     12-        0.00
1895     13         0.99
1895     14         5.94
1895     15        26.72
1895     16        98.97
1895     17       331.56
1895     18       792.79
1895     19      1607.35
1895     20      2515.95
1895     21      3338.42
1895     22      4265.81
1895     23      5146.70
1895     24      5537.65
1895     25      5895.94
1895     26      5606.93
1895     27      6112.70
1895     28      7028.21
1895     29      7309.30
1895     30      7352.85
1895     31      7548.81
1895     32      7053.94
1895     33      6598.66
1895     34      6577.88
1895     35      6734.25
1895     36      6265.12
1895     37      5684.13
1895     38      4893.33
1895     39      4473.67
1895     40      4291.55
1895     41      3616.55
1895     42      2629.76
1895     43      2104.21
1895     44      1475.71
1895     45       908.59
1895     46       453.30
1895     47       213.79
1895     48        61.36
1895     49        27.71
1895     50        11.88
1895     51         0.00
1895     52         0.00
1895     53         0.00
1895     54         0.00
1895     55+        0.00
1896     12-        0.00
1896     13         0.00
1896     14         0.99
1896     15        13.84
1896     16       100.80
1896     17       364.67
1896     18       910.20
1896     19      1691.92
1896     20      2616.95
1896     21      3627.95
1896     22      4400.77
1896     23      5100.46
1896     24      5770.52
1896     25      6183.61
1896     26      6191.52
1896     27      5810.05
1896     28      6083.80
1896     29      6894.18
1896     30      7286.52
1896     31      7240.08
1896     32      7076.02
1896     33      6813.14
1896     34      6476.14
1896     35      6235.01
1896     36      6176.69
1896     37      5957.30
1896     38      5295.15
1896     39      4381.01
1896     40      4023.25
1896     41      3538.01
1896     42      2966.79
1896     43      1981.48
1896     44      1408.29
1896     45       882.52
1896     46       468.44
1896     47       212.48
1896     48        96.85
1896     49        20.76
1896     50         9.88
1896     51         0.00
1896     52         0.00
1896     53         0.00
1896     54         0.00
1896     55+        0.00
1897     12-        0.00
1897     13         0.99
1897     14         2.96
1897     15        17.77
1897     16       122.49
1897     17       402.05
1897     18       910.77
1897     19      1669.42
1897     20      2743.18
1897     21      3661.84
1897     22      4636.82
1897     23      5172.23
1897     24      5782.70
1897     25      6135.35
1897     26      6465.27
1897     27      6283.52
1897     28      5896.29
1897     29      6111.63
1897     30      6848.56
1897     31      7038.21
1897     32      6915.72
1897     33      6929.55
1897     34      6452.43
1897     35      5963.46
1897     36      5801.46
1897     37      5835.05
1897     38      5241.36
1897     39      4617.08
1897     40      3941.40
1897     41      3302.28
1897     42      2937.78
1897     43      2203.83
1897     44      1290.09
1897     45       860.39
1897     46       461.32
1897     47       221.27
1897     48        82.98
1897     49        32.60
1897     50         6.91
1897     51         0.00
1897     52         0.00
1897     53         0.00
1897     54         0.00
1897     55+        0.00
1898     12-        0.00
1898     13         0.00
1898     14         6.92
1898     15        33.63
1898     16       110.75
1898     17       429.18
1898     18      1003.73
1898     19      1882.85
1898     20      2896.46
1898     21      3939.73
1898     22      4818.86
1898     23      5483.39
1898     24      6010.47
1898     25      6401.07
1898     26      6643.36
1898     27      6794.66
1898     28      6587.97
1898     29      6136.05
1898     30      6141.98
1898     31      6752.13
1898     32      7208.01
1898     33      6891.57
1898     34      6773.88
1898     35      6427.77
1898     36      5823.56
1898     37      5583.26
1898     38      5428.01
1898     39      4847.53
1898     40      4259.15
1898     41      3345.41
1898     42      2681.87
1898     43      2150.84
1898     44      1468.50
1898     45       751.56
1898     46       451.92
1898     47       222.50
1898     48        85.05
1898     49        31.64
1898     50        11.86
1898     51         4.94
1898     52         0.99
1898     53         0.00
1898     54         0.00
1898     55+        0.00
1899     12-        0.00
1899     13         0.00
1899     14         3.97
1899     15        28.71
1899     16       116.79
1899     17       430.55
1899     18       981.85
1899     19      1913.21
1899     20      2896.06
1899     21      3936.31
1899     22      4916.19
1899     23      5561.50
1899     24      6135.58
1899     25      6367.18
1899     26      6760.11
1899     27      6949.16
1899     28      6643.33
1899     29      6566.12
1899     30      5814.89
1899     31      6046.49
1899     32      6300.87
1899     33      6502.78
1899     34      6322.64
1899     35      6269.19
1899     36      5905.94
1899     37      5302.18
1899     38      5026.04
1899     39      4806.32
1899     40      4177.81
1899     41      3493.88
1899     42      2615.96
1899     43      2013.19
1899     44      1451.98
1899     45       870.01
1899     46       427.58
1899     47       203.89
1899     48        79.18
1899     49        34.63
1899     50         7.91
1899     51         1.98
1899     52         0.00
1899     53         0.00
1899     54         0.00
1899     55+        0.00
1900     12-        0.00
1900     13         0.00
1900     14         6.93
1900     15        26.73
1900     16       134.63
1900     17       433.58
1900     18      1068.12
1900     19      1937.26
1900     20      3030.12
1900     21      4132.88
1900     22      5250.48
1900     23      5974.11
1900     24      6379.96
1900     25      6851.18
1900     26      6839.29
1900     27      6963.03
1900     28      7215.45
1900     29      6765.05
1900     30      6556.17
1900     31      5863.25
1900     32      5997.87
1900     33      6434.41
1900     34      6659.13
1900     35      6246.33
1900     36      6115.66
1900     37      5674.17
1900     38      4974.30
1900     39      4648.62
1900     40      4398.17
1900     41      3628.03
1900     42      2859.85
1900     43      2028.32
1900     44      1396.77
1900     45       846.37
1900     46       487.03
1900     47       178.18
1900     48        92.06
1900     49        36.62
1900     50         5.94
1900     51         1.98
1900     52         0.99
1900     53         0.00
1900     54         0.00
1900     55+        0.00
1901     12-        0.00
1901     13         0.00
1901     14         2.97
1901     15        27.72
1901     16       158.42
1901     17       481.20
1901     18      1064.38
1901     19      1956.47
1901     20      3062.43
1901     21      4354.54
1901     22      5288.22
1901     23      6114.97
1901     24      6781.32
1901     25      7078.35
1901     26      7207.07
1901     27      7309.05
1901     28      7155.58
1901     29      7261.53
1901     30      6820.92
1901     31      6472.40
1901     32      5701.10
1901     33      5653.57
1901     34      6098.14
1901     35      6196.16
1901     36      5814.96
1901     37      5756.55
1901     38      5178.32
1901     39      4632.76
1901     40      4091.17
1901     41      3636.70
1901     42      2868.37
1901     43      2128.75
1901     44      1316.86
1901     45       865.36
1901     46       483.18
1901     47       221.79
1901     48        95.05
1901     49        25.74
1901     50         4.95
1901     51         0.99
1901     52         1.98
1901     53         0.00
1901     54         0.00
1901     55+        0.00
1902     12-        0.00
1902     13         1.98
1902     14         3.96
1902     15        29.69
1902     16       163.32
1902     17       470.15
1902     18      1104.61
1902     19      2110.25
1902     20      3069.36
1902     21      4041.34
1902     22      5379.55
1902     23      6091.21
1902     24      6695.98
1902     25      7114.66
1902     26      7292.82
1902     27      7144.35
1902     28      7123.57
1902     29      6979.06
1902     30      6874.14
1902     31      6516.82
1902     32      6076.36
1902     33      5441.90
1902     34      5472.59
1902     35      5808.13
1902     36      5748.74
1902     37      5430.03
1902     38      5141.99
1902     39      4663.92
1902     40      3914.65
1902     41      3343.53
1902     42      2925.84
1902     43      2231.00
1902     44      1456.98
1902     45       780.95
1902     46       421.65
1902     47       196.97
1902     48        76.21
1902     49        15.84
1902     50         7.92
1902     51         1.98
1902     52         0.00
1902     53         0.00
1902     54         0.00
1902     55+        0.00
1903     12-        0.00
1903     13         0.99
1903     14         3.96
1903     15        29.68
1903     16       131.56
1903     17       443.16
1903     18      1136.58
1903     19      2010.04
1903     20      2951.75
1903     21      4133.83
1903     22      4891.55
1903     23      5984.61
1903     24      6595.93
1903     25      6922.36
1903     26      7291.33
1903     27      7132.07
1903     28      7116.25
1903     29      7017.33
1903     30      6702.76
1903     31      6529.65
1903     32      6201.24
1903     33      5733.36
1903     34      5127.97
1903     35      4980.58
1903     36      5259.53
1903     37      5236.78
1903     38      4967.72
1903     39      4517.64
1903     40      3897.42
1903     41      3215.86
1903     42      2664.88
1903     43      2056.53
1903     44      1432.35
1903     45       827.95
1903     46       447.11
1903     47       165.20
1903     48        93.97
1903     49        40.56
1903     50         3.96
1903     51         0.00
1903     52         0.00
1903     53         0.00
1903     54         0.00
1903     55+        0.00
1904     12-        0.00
1904     13         0.99
1904     14         3.96
1904     15        30.68
1904     16       143.49
1904     17       477.96
1904     18      1146.90
1904     19      2103.80
1904     20      3127.99
1904     21      4065.11
1904     22      5158.57
1904     23      5781.00
1904     24      6584.52
1904     25      7023.88
1904     26      7258.41
1904     27      7411.79
1904     28      7288.10
1904     29      7039.72
1904     30      6797.28
1904     31      6639.94
1904     32      6445.98
1904     33      6019.48
1904     34      5629.60
1904     35      4778.58
1904     36      4834.98
1904     37      4976.49
1904     38      4887.43
1904     39      4346.14
1904     40      4122.50
1904     41      3359.55
1904     42      2591.65
1904     43      1971.20
1904     44      1414.08
1904     45       792.64
1904     46       415.61
1904     47       179.11
1904     48        73.23
1904     49        21.77
1904     50         6.93
1904     51         0.00
1904     52         0.99
1904     53         0.00
1904     54         0.00
1904     55+        0.00
1905     12-        0.00
1905     13         0.99
1905     14         8.91
1905     15        35.64
1905     16       155.41
1905     17       518.70
1905     18      1203.71
1905     19      2103.52
1905     20      3187.45
1905     21      4174.37
1905     22      4995.97
1905     23      6002.69
1905     24      6359.05
1905     25      7115.33
1905     26      7200.46
1905     27      7415.26
1905     28      7487.53
1905     29      7146.01
1905     30      7031.19
1905     31      6702.54
1905     32      6376.87
1905     33      6245.21
1905     34      5744.33
1905     35      5226.62
1905     36      4517.86
1905     37      4389.17
