Sweden, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 14/04/2023
Year   Age    Cohort           Total
1891    12-        .            0.00
1891    13      1878            0.18
1891    13      1877            0.81
1891    14      1877            0.47
1891    14      1876            0.52
1891    15      1876            6.34
1891    15      1875           14.44
1891    16      1875           37.98
1891    16      1874           54.99
1891    17      1874          114.78
1891    17      1873          157.21
1891    18      1873          285.27
1891    18      1872          357.61
1891    19      1872          596.68
1891    19      1871          761.29
1891    20      1871         1127.07
1891    20      1870         1214.02
1891    21      1870         1437.46
1891    21      1869         1541.56
1891    22      1869         1859.15
1891    22      1868         1783.53
1891    23      1868         2009.62
1891    23      1867         2267.04
1891    24      1867         2679.45
1891    24      1866         2967.05
1891    25      1866         3281.35
1891    25      1865         3279.03
1891    26      1865         3481.41
1891    26      1864         3552.73
1891    27      1864         3748.96
1891    27      1863         3648.16
1891    28      1863         3701.95
1891    28      1862         3617.04
1891    29      1862         3720.00
1891    29      1861         3534.70
1891    30      1861         3727.77
1891    30      1860         3901.78
1891    31      1860         3740.84
1891    31      1859         3742.33
1891    32      1859         3728.89
1891    32      1858         3685.05
1891    33      1858         3576.97
1891    33      1857         3312.77
1891    34      1857         3070.61
1891    34      1856         3002.18
1891    35      1856         3032.55
1891    35      1855         2981.88
1891    36      1855         2888.48
1891    36      1854         3072.54
1891    37      1854         3012.17
1891    37      1853         2751.04
1891    38      1853         2454.02
1891    38      1852         2228.15
1891    39      1852         2273.41
1891    39      1851         2257.44
1891    40      1851         2159.08
1891    40      1850         2089.89
1891    41      1850         1819.06
1891    41      1849         1775.16
1891    42      1849         1548.29
1891    42      1848         1354.58
1891    43      1848         1175.85
1891    43      1847         1003.03
1891    44      1847          761.97
1891    44      1846          645.44
1891    45      1846          468.84
1891    45      1845          426.25
1891    46      1845          297.53
1891    46      1844          248.42
1891    47      1844          141.39
1891    47      1843          109.84
1891    48      1843           80.46
1891    48      1842           60.98
1891    49      1842           25.46
1891    49      1841           20.04
1891    50      1841           17.67
1891    50      1840            6.06
1891    51      1840            0.00
1891    51      1839            0.00
1891    52      1839            0.00
1891    52      1838            0.00
1891    53      1838            0.00
1891    53      1837            0.00
1891    54      1837            0.00
1891    54      1836            0.00
1891    55+        .            0.00
1892    12-        .            0.00
1892    13      1879            0.00
1892    13      1878            0.00
1892    14      1878            0.29
1892    14      1877            1.70
1892    15      1877            6.66
1892    15      1876           10.16
1892    16      1876           28.22
1892    16      1875           43.01
1892    17      1875          110.62
1892    17      1874          155.53
1892    18      1874          287.75
1892    18      1873          374.16
1892    19      1873          604.52
1892    19      1872          712.38
1892    20      1872         1024.72
1892    20      1871         1217.27
1892    21      1871         1542.95
1892    21      1870         1591.48
1892    22      1870         1902.30
1892    22      1869         1997.94
1892    23      1869         2133.05
1892    23      1868         1996.73
1892    24      1868         2301.19
1892    24      1867         2571.64
1892    25      1867         2857.87
1892    25      1866         3087.47
1892    26      1866         3275.33
1892    26      1865         3237.92
1892    27      1865         3440.12
1892    27      1864         3508.47
1892    28      1864         3706.11
1892    28      1863         3591.75
1892    29      1863         3584.82
1892    29      1862         3496.36
1892    30      1862         3630.14
1892    30      1861         3421.35
1892    31      1861         3412.67
1892    31      1860         3577.47
1892    32      1860         3655.41
1892    32      1859         3652.33
1892    33      1859         3390.01
1892    33      1858         3312.22
1892    34      1858         3258.51
1892    34      1857         3049.93
1892    35      1857         2929.21
1892    35      1856         2868.70
1892    36      1856         2797.77
1892    36      1855         2717.18
1892    37      1855         2553.39
1892    37      1854         2688.47
1892    38      1854         2577.44
1892    38      1853         2361.67
1892    39      1853         2184.46
1892    39      1852         1975.00
1892    40      1852         1932.78
1892    40      1851         1867.52
1892    41      1851         1647.69
1892    41      1850         1578.76
1892    42      1850         1422.61
1892    42      1849         1378.40
1892    43      1849         1149.42
1892    43      1848          977.81
1892    44      1848          788.03
1892    44      1847          656.50
1892    45      1847          488.40
1892    45      1846          399.10
1892    46      1846          262.13
1892    46      1845          225.64
1892    47      1845          136.49
1892    47      1844          112.84
1892    48      1844           67.97
1892    48      1843           50.75
1892    49      1843           29.79
1892    49      1842           21.66
1892    50      1842            8.88
1892    50      1841            3.98
1892    51      1841            0.75
1892    51      1840            0.24
1892    52      1840            0.00
1892    52      1839            0.00
1892    53      1839            0.00
1892    53      1838            0.00
1892    54      1838            0.00
1892    54      1837            0.00
1892    55+        .            0.00
1893    12-        .            0.00
1893    13      1880            0.00
1893    13      1879            0.00
1893    14      1879            0.15
1893    14      1878            0.84
1893    15      1878            5.64
1893    15      1877           11.17
1893    16      1877           35.53
1893    16      1876           53.45
1893    17      1876          130.73
1893    17      1875          181.70
1893    18      1875          304.63
1893    18      1874          369.67
1893    19      1874          624.13
1893    19      1873          766.00
1893    20      1873         1083.27
1893    20      1872         1189.78
1893    21      1872         1461.98
1893    21      1871         1635.65
1893    22      1871         1951.75
1893    22      1870         1962.56
1893    23      1870         2267.01
1893    23      1869         2346.31
1893    24      1869         2491.43
1893    24      1868         2295.91
1893    25      1868         2500.94
1893    25      1867         2753.07
1893    26      1867         3054.13
1893    26      1866         3283.52
1893    27      1866         3525.56
1893    27      1865         3442.88
1893    28      1865         3482.37
1893    28      1864         3519.68
1893    29      1864         3799.96
1893    29      1863         3687.56
1893    30      1863         3741.14
1893    30      1862         3613.88
1893    31      1862         3561.57
1893    31      1861         3341.61
1893    32      1861         3492.46
1893    32      1860         3649.00
