Japan, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 10/03/2023
Year   Age   Cohort      Exposure
1947    12    1935      463311.89
1947    12    1934      387899.11
1947    13    1934      458530.13
1947    13    1933      390795.84
1947    14    1933      461807.75
1947    14    1932      398283.05
1947    15    1932      455423.66
1947    15    1931      382340.97
1947    16    1931      461755.52
1947    16    1930      383204.36
1947    17    1930      435975.63
1947    17    1929      368482.64
1947    18    1929      438559.61
1947    18    1928      369706.52
1947    19    1928      424269.15
1947    19    1927      353654.55
1947    20    1927      424913.12
1947    20    1926      355225.25
1947    21    1926      414749.37
1947    21    1925      350444.88
1947    22    1925      404151.67
1947    22    1924      329399.15
1947    23    1924      384427.10
1947    23    1923      316654.76
1947    24    1923      374500.85
1947    24    1922      304480.55
1947    25    1922      368077.11
1947    25    1921      297414.72
1947    26    1921      347672.80
1947    26    1920      296964.75
1947    27    1920      358302.90
1947    27    1919      269210.12
1947    28    1919      302829.87
1947    28    1918      251533.20
1947    29    1918      300375.69
1947    29    1917      256008.15
1947    30    1917      299542.01
1947    30    1916      257832.23
1947    31    1916      301763.62
1947    31    1915      259605.15
1947    32    1915      292185.49
1947    32    1914      259777.21
1947    33    1914      295814.71
1947    33    1913      254712.58
1947    34    1913      284512.89
1947    34    1912      248396.62
1947    35    1912      283999.97
1947    35    1911      247676.93
1947    36    1911      280221.64
1947    36    1910      239788.24
1947    37    1910      272047.25
1947    37    1909      234139.18
1947    38    1909      266819.34
1947    38    1908      225995.49
1947    39    1908      256721.32
1947    39    1907      215570.10
1947    40    1907      248079.53
1947    40    1906      202887.11
1947    41    1906      207723.20
1947    41    1905      195653.09
1947    42    1905      212399.55
1947    42    1904      189860.61
1947    43    1904      209690.93
1947    43    1903      193960.10
1947    44    1903      215211.44
1947    44    1902      194295.13
1947    45    1902      216109.03
1947    45    1901      190205.51
1947    46    1901      210635.82
1947    46    1900      184088.71
1947    47    1900      199667.47
1947    47    1899      176866.12
1947    48    1899      180077.62
1947    48    1898      177220.72
1947    49    1898      176018.00
1947    49    1897      166840.82
1947    50    1897      165652.79
1947    50    1896      161053.61
1947    51    1896      159790.79
1947    51    1895      157999.32
1947    52    1895      156767.22
1947    52    1894      150757.27
1947    53    1894      149472.08
1947    53    1893      142389.33
1947    54    1893      141081.10
1947    54    1892      140886.35
1947    55    1892      139602.49
1947    55    1891      129566.93
