"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Mar., 2001"	"2001/03"	2387	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2001"	"2001/04"	2262	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2001"	"2001/05"	2382	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2001"	"2001/06"	2144	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2001"	"2001/07"	2239	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2001"	"2001/08"	2316	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2001"	"2001/09"	2206	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2001"	"2001/10"	2334	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2001"	"2001/11"	2236	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2001"	"2001/12"	2356	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2002"	"2002/01"	2451	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2002"	"2002/02"	2180	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2002"	"2002/03"	2460	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2002"	"2002/04"	2402	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2002"	"2002/05"	2378	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2002"	"2002/06"	2324	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2002"	"2002/07"	2276	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2002"	"2002/08"	2330	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2002"	"2002/09"	2292	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2002"	"2002/10"	2343	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2002"	"2002/11"	2260	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2002"	"2002/12"	2338	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2003"	"2003/01"	2393	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2003"	"2003/02"	2136	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2003"	"2003/03"	2353	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2003"	"2003/04"	2294	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2003"	"2003/05"	2381	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2003"	"2003/06"	2361	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2003"	"2003/07"	2427	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2003"	"2003/08"	2354	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2003"	"2003/09"	2273	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2003"	"2003/10"	2384	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2003"	"2003/11"	2225	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2003"	"2003/12"	2444	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2004"	"2004/01"	2452	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2004"	"2004/02"	2292	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2004"	"2004/03"	2340	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2004"	"2004/04"	2201	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2004"	"2004/05"	2348	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2004"	"2004/06"	2217	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2004"	"2004/07"	2463	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2004"	"2004/08"	2319	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2004"	"2004/09"	2316	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2004"	"2004/10"	2424	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2004"	"2004/11"	2257	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2004"	"2004/12"	2307	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2005"	"2005/01"	2355	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2005"	"2005/02"	2170	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2005"	"2005/03"	2529	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2005"	"2005/04"	2394	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2005"	"2005/05"	2514	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2005"	"2005/06"	2343	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2005"	"2005/07"	2475	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2005"	"2005/08"	2394	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2005"	"2005/09"	2226	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2005"	"2005/10"	2352	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2005"	"2005/11"	2266	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2005"	"2005/12"	2422	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2006"	"2006/01"	2317	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2006"	"2006/02"	2195	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2006"	"2006/03"	2493	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2006"	"2006/04"	2365	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2006"	"2006/05"	2365	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2006"	"2006/06"	2386	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2006"	"2006/07"	2438	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2006"	"2006/08"	2426	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2006"	"2006/09"	2354	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2006"	"2006/10"	2376	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2006"	"2006/11"	2332	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2006"	"2006/12"	2480	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2007"	"2007/01"	2475	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2007"	"2007/02"	2216	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2007"	"2007/03"	2538	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2007"	"2007/04"	2393	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2007"	"2007/05"	2583	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2007"	"2007/06"	2336	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2007"	"2007/07"	2377	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2007"	"2007/08"	2537	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2007"	"2007/09"	2353	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2007"	"2007/10"	2446	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2007"	"2007/11"	2431	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2007"	"2007/12"	2453	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2008"	"2008/01"	2498	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2008"	"2008/02"	2338	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2008"	"2008/03"	2453	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2008"	"2008/04"	2268	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2008"	"2008/05"	2424	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2008"	"2008/06"	2273	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2008"	"2008/07"	2323	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2008"	"2008/08"	2423	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2008"	"2008/09"	2210	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2008"	"2008/10"	2307	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2008"	"2008/11"	2255	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2008"	"2008/12"	2287	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2009"	"2009/01"	2283	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2009"	"2009/02"	2089	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2009"	"2009/03"	2328	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2009"	"2009/04"	2368	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2009"	"2009/05"	2277	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2009"	"2009/06"	2159	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2009"	"2009/07"	2188	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2009"	"2009/08"	2275	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2009"	"2009/09"	2098	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2009"	"2009/10"	2230	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2009"	"2009/11"	2042	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2009"	"2009/12"	2075	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2010"	"2010/01"	2178	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2010"	"2010/02"	1938	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2010"	"2010/03"	2057	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2010"	"2010/04"	2077	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2010"	"2010/05"	2128	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2010"	"2010/06"	1969	Not Applicable	Not Applicable
