month,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
4,2000,18,2789863,876514,1913349,794561,1730321,57266,142621,2815,5551,17411,25890,465,736,3996,8230,843487,1847954,763344,1668549,56320,140399,2475,4982,17234,25649,389,632,3725,7743,33027,65395,31217,61772,946,2222,340,569,177,241,76,104,271,487
4,2000,19,1112563,282329,830234,252973,754012,20735,61729,1004,2129,6078,8920,185,317,1354,3127,270058,803825,241350,729031,20433,60848,867,1936,5992,8809,154,263,1262,2938,12271,26409,11623,24981,302,881,137,193,86,111,31,54,92,189
4,2000,20,286794,58116,228678,50006,203611,5962,20688,302,660,1449,2749,50,104,347,866,54751,221063,46885,196441,5837,20413,263,605,1425,2720,43,87,298,797,3365,7615,3121,7170,125,275,39,55,24,29,7,17,49,69
4,2000,21,50454,10057,40397,7678,33636,1747,5553,126,194,290,699,46,49,170,266,9100,38721,6859,32136,1699,5470,103,164,272,689,38,41,129,221,957,1676,819,1500,48,83,23,30,18,10,8,8,41,45
7,2000,0,282162411,138443407,143719004,112710885,115819594,17027514,18787192,1343592,1340899,5182557,5523282,237674,229665,1941185,2018372,120101363,126399163,95778530,99923222,16340639,18065161,1038554,1063415,5065475,5403284,187229,182995,1690936,1761086,18342044,17319841,16932355,15896372,686875,722031,305038,277484,117082,119998,50445,46670,250249,257286
7,2000,1,19178293,9810619,9367674,7512002,7134464,1481272,1436101,119146,114456,360487,355346,21199,20087,316513,307220,7894877,7535744,5776151,5476450,1397626,1355506,87237,84134,345357,340680,15200,14319,273306,264655,1915742,1831930,1735851,1658014,83646,80595,31909,30322,15130,14666,5999,5768,43207,42565
7,2000,2,20463852,10479357,9984495,8013510,7598091,1676146,1624457,130336,126973,368297,351558,22446,21404,268622,262012,8620121,8205802,6322439,5983430,1594768,1545215,98630,96033,354708,338241,16632,15945,232944,226938,1859236,1778693,1691071,1614661,81378,79242,31706,30940,13589,13317,5814,5459,35678,35074
7,2000,3,20637696,10574642,10063054,8169219,7737138,1648064,1600223,135815,131018,371502,350455,21809,20702,228233,223518,8933127,8493496,6674449,6310554,1577668,1531983,105717,101401,359803,339180,16901,15998,198589,194380,1641515,1569558,1494770,1426584,70396,68240,30098,29617,11699,11275,4908,4704,29644,29138
7,2000,4,20294955,10440023,9854932,8157921,7637919,1537290,1497210,130811,123127,398640,381772,22709,20977,192652,193927,8738262,8359950,6593951,6272963,1471698,1434706,99907,95883,387556,371107,17649,16581,167501,168710,1701761,1494982,1563970,1364956,65592,62504,30904,27244,11084,10665,5060,4396,25151,25217
7,2000,5,19116667,9766853,9349814,7705744,7226683,1343238,1410847,115358,105360,429513,429482,24505,21918,148495,155524,7874823,7800813,5953817,5809006,1275328,1342570,83185,80220,417771,418172,18553,17313,126169,133532,1892030,1549001,1751927,1417677,67910,68277,32173,25140,11742,11310,5952,4605,22326,21992
