"","doy","circumstance","deaths"
"252",84,"Homicide",357
"253",85,"Accident",568
"254",85,"Suicide",71
"255",85,"Homicide",471
"256",86,"Accident",685
"257",86,"Suicide",73
"258",86,"Homicide",547
"259",87,"Accident",672
"260",87,"Suicide",69
"261",87,"Homicide",585
"262",88,"Accident",607
"263",88,"Suicide",65
"264",88,"Homicide",480
"265",89,"Accident",644
"266",89,"Suicide",78
"267",89,"Homicide",483
"268",90,"Accident",499
"269",90,"Suicide",69
"270",90,"Homicide",327
"271",91,"Accident",538
"272",91,"Suicide",68
"273",91,"Homicide",402
"274",92,"Accident",579
"275",92,"Suicide",57
"276",92,"Homicide",480
"277",93,"Accident",650
"278",93,"Suicide",71
"279",93,"Homicide",499
"280",94,"Accident",693
"281",94,"Suicide",88
"282",94,"Homicide",499
"283",95,"Accident",626
"284",95,"Suicide",83
"285",95,"Homicide",525
"286",96,"Accident",613
"287",96,"Suicide",69
"288",96,"Homicide",435
"289",97,"Accident",480
"290",97,"Suicide",64
"291",97,"Homicide",382
"292",98,"Accident",491
"293",98,"Suicide",62
"294",98,"Homicide",367
"295",99,"Accident",597
"296",99,"Suicide",66
"297",99,"Homicide",446
"298",100,"Accident",643
"299",100,"Suicide",68
"300",100,"Homicide",545
"301",101,"Accident",667
"302",101,"Suicide",84
"303",101,"Homicide",523
"304",102,"Accident",614
"305",102,"Suicide",96
"306",102,"Homicide",513
"307",103,"Accident",621
"308",103,"Suicide",82
"309",103,"Homicide",466
"310",104,"Accident",525
"311",104,"Suicide",94
"312",104,"Homicide",362
"313",105,"Accident",494
"314",105,"Suicide",80
"315",105,"Homicide",352
"316",106,"Accident",556
"317",106,"Suicide",70
"318",106,"Homicide",484
"319",107,"Accident",689
"320",107,"Suicide",66
"321",107,"Homicide",550
"322",108,"Accident",690
"323",108,"Suicide",67
"324",108,"Homicide",520
"325",109,"Accident",644
"326",109,"Suicide",64
"327",109,"Homicide",527
"328",110,"Accident",607
"329",110,"Suicide",68
"330",110,"Homicide",440
"331",111,"Accident",634
"332",111,"Suicide",62
"333",111,"Homicide",478
"334",112,"Accident",524
"335",112,"Suicide",71
"336",112,"Homicide",421
"337",113,"Accident",548
"338",113,"Suicide",72
"339",113,"Homicide",409
"340",114,"Accident",612
"341",114,"Suicide",79
"342",114,"Homicide",491
"343",115,"Accident",632
"344",115,"Suicide",91
"345",115,"Homicide",508
"346",116,"Accident",600
"347",116,"Suicide",78
"348",116,"Homicide",502
"349",117,"Accident",544
"350",117,"Suicide",58
"351",117,"Homicide",443
"352",118,"Accident",522
"353",118,"Suicide",79
"354",118,"Homicide",349
"355",119,"Accident",435
"356",119,"Suicide",53
"357",119,"Homicide",339
"358",120,"Accident",560
"359",120,"Suicide",74
"360",120,"Homicide",439
"361",121,"Accident",758
"362",121,"Suicide",78
"363",121,"Homicide",568
"364",122,"Accident",662
"365",122,"Suicide",67
"366",122,"Homicide",549
"367",123,"Accident",613
"368",123,"Suicide",74
"369",123,"Homicide",461
"370",124,"Accident",583
"371",124,"Suicide",67
"372",124,"Homicide",407
"373",125,"Accident",500
"374",125,"Suicide",73
"375",125,"Homicide",392
"376",126,"Accident",477
"377",126,"Suicide",70
"378",126,"Homicide",377
"379",127,"Accident",567
"380",127,"Suicide",79
"381",127,"Homicide",458
"382",128,"Accident",658
"383",128,"Suicide",81
"384",128,"Homicide",497
"385",129,"Accident",657
"386",129,"Suicide",72
"387",129,"Homicide",514
"388",130,"Accident",615
"389",130,"Suicide",84
"390",130,"Homicide",526
"391",131,"Accident",627
"392",131,"Suicide",73
"393",131,"Homicide",443
"394",132,"Accident",495
"395",132,"Suicide",72
"396",132,"Homicide",368
"397",133,"Accident",510
"398",133,"Suicide",67
"399",133,"Homicide",381
"400",134,"Accident",583
"401",134,"Suicide",73
"402",134,"Homicide",359
"403",135,"Accident",639
"404",135,"Suicide",89
"405",135,"Homicide",501
"406",136,"Accident",671
"407",136,"Suicide",71
"408",136,"Homicide",544
"409",137,"Accident",586
"410",137,"Suicide",66
"411",137,"Homicide",534
"412",138,"Accident",601
"413",138,"Suicide",65
"414",138,"Homicide",415
"415",139,"Accident",491
"416",139,"Suicide",61
"417",139,"Homicide",350
"418",140,"Accident",490
"419",140,"Suicide",59
"420",140,"Homicide",360
"421",141,"Accident",591
"422",141,"Suicide",54
"423",141,"Homicide",382
"424",142,"Accident",663
"425",142,"Suicide",71
"426",142,"Homicide",523
"427",143,"Accident",624
"428",143,"Suicide",72
"429",143,"Homicide",467
"430",144,"Accident",608
"431",144,"Suicide",56
"432",144,"Homicide",460
"433",145,"Accident",582
"434",145,"Suicide",78
"435",145,"Homicide",409
"436",146,"Accident",491
"437",146,"Suicide",81
"438",146,"Homicide",350
"439",147,"Accident",560
"440",147,"Suicide",75
"441",147,"Homicide",340
"442",148,"Accident",573
"443",148,"Suicide",62
"444",148,"Homicide",405
"445",149,"Accident",691
"446",149,"Suicide",70
"447",149,"Homicide",496
"448",150,"Accident",594
"449",150,"Suicide",68
"450",150,"Homicide",534
"451",151,"Accident",615
"452",151,"Suicide",58
"453",151,"Homicide",477
"454",152,"Accident",630
"455",152,"Suicide",63
"456",152,"Homicide",420
"457",153,"Accident",527
"458",153,"Suicide",67
"459",153,"Homicide",385
"460",154,"Accident",541
"461",154,"Suicide",71
"462",154,"Homicide",404
"463",155,"Accident",549
"464",155,"Suicide",64
"465",155,"Homicide",422
"466",156,"Accident",626
"467",156,"Suicide",65
"468",156,"Homicide",526
"469",157,"Accident",622
"470",157,"Suicide",66
"471",157,"Homicide",503
"472",158,"Accident",674
"473",158,"Suicide",65
"474",158,"Homicide",466
"475",159,"Accident",611
"476",159,"Suicide",65
"477",159,"Homicide",447
"478",160,"Accident",518
"479",160,"Suicide",74
"480",160,"Homicide",372
"481",161,"Accident",574
"482",161,"Suicide",75
"483",161,"Homicide",421
"484",162,"Accident",620
"485",162,"Suicide",62
"486",162,"Homicide",439
"487",163,"Accident",678
"488",163,"Suicide",67
"489",163,"Homicide",514
"490",164,"Accident",642
"491",164,"Suicide",88
"492",164,"Homicide",478
"493",165,"Accident",631
"494",165,"Suicide",65
"495",165,"Homicide",494
"496",166,"Accident",602
"497",166,"Suicide",82
"498",166,"Homicide",429
"499",167,"Accident",487
"500",167,"Suicide",66
"501",167,"Homicide",380
"502",168,"Accident",498
"503",168,"Suicide",68
"504",168,"Homicide",373
"505",169,"Accident",540
"506",169,"Suicide",56
"507",169,"Homicide",396
"508",170,"Accident",615
"509",170,"Suicide",76
"510",170,"Homicide",513
"511",171,"Accident",621
"512",171,"Suicide",69
"513",171,"Homicide",493
"514",172,"Accident",629
"515",172,"Suicide",79
"516",172,"Homicide",459
"517",173,"Accident",598
"518",173,"Suicide",70
"519",173,"Homicide",405
"520",174,"Accident",540
"521",174,"Suicide",73
"522",174,"Homicide",435
"523",175,"Accident",586
"524",175,"Suicide",65
"525",175,"Homicide",482
"526",176,"Accident",559
"527",176,"Suicide",86
"528",176,"Homicide",409
"529",177,"Accident",630
"530",177,"Suicide",63
"531",177,"Homicide",486
"532",178,"Accident",600
"533",178,"Suicide",74
"534",178,"Homicide",525
"535",179,"Accident",635
"536",179,"Suicide",68
"537",179,"Homicide",479
"538",180,"Accident",525
"539",180,"Suicide",70
"540",180,"Homicide",414
"541",181,"Accident",470
"542",181,"Suicide",62
"543",181,"Homicide",305
"544",182,"Accident",465
"545",182,"Suicide",75
"546",182,"Homicide",381
"547",183,"Accident",550
"548",183,"Suicide",82
"549",183,"Homicide",408
"550",184,"Accident",662
"551",184,"Suicide",65
"552",184,"Homicide",560
"553",185,"Accident",592
"554",185,"Suicide",85
"555",185,"Homicide",512
"556",186,"Accident",625
"557",186,"Suicide",66
"558",186,"Homicide",457
"559",187,"Accident",677
"560",187,"Suicide",66
"561",187,"Homicide",423
"562",188,"Accident",574
"563",188,"Suicide",64
"564",188,"Homicide",397
"565",189,"Accident",513
"566",189,"Suicide",70
"567",189,"Homicide",397
"568",190,"Accident",538
"569",190,"Suicide",75
"570",190,"Homicide",434
"571",191,"Accident",615
"572",191,"Suicide",76
"573",191,"Homicide",507
"574",192,"Accident",607
"575",192,"Suicide",78
"576",192,"Homicide",482
"577",193,"Accident",631
"578",193,"Suicide",83
"579",193,"Homicide",525
"580",194,"Accident",623
"581",194,"Suicide",71
"582",194,"Homicide",466
"583",195,"Accident",491
"584",195,"Suicide",63
"585",195,"Homicide",318
"586",196,"Accident",511
"587",196,"Suicide",74
"588",196,"Homicide",345
"589",197,"Accident",584
"590",197,"Suicide",68
"591",197,"Homicide",420
"592",198,"Accident",599
"593",198,"Suicide",68
"594",198,"Homicide",460
"595",199,"Accident",621
