"","H","circumstance","deaths"
"379",64,"Other",3
"380",64,"Unknown",27
"381",64,NA,1314
"382",65,"Accident",142
"383",65,"Suicide",11
"384",65,"Homicide",65
"385",65,"Other",4
"386",65,"Unknown",19
"387",65,NA,1293
"388",66,"Accident",117
"389",66,"Suicide",17
"390",66,"Homicide",62
"391",66,"Other",1
"392",66,"Unknown",21
"393",66,NA,1261
"394",67,"Accident",85
"395",67,"Suicide",13
"396",67,"Homicide",75
"397",67,"Other",1
"398",67,"Unknown",20
"399",67,NA,1146
"400",68,"Accident",96
"401",68,"Suicide",13
"402",68,"Homicide",75
"403",68,"Unknown",15
"404",68,NA,1257
"405",69,"Accident",91
"406",69,"Suicide",10
"407",69,"Homicide",94
"408",69,"Other",4
"409",69,"Unknown",20
"410",69,NA,1155
"411",70,"Accident",59
"412",70,"Suicide",12
"413",70,"Homicide",77
"414",70,"Other",1
"415",70,"Unknown",14
"416",70,NA,1155
"417",71,"Accident",75
"418",71,"Suicide",12
"419",71,"Homicide",73
"420",71,"Other",2
"421",71,"Unknown",15
"422",71,NA,1179
"423",72,"Accident",53
"424",72,"Suicide",6
"425",72,"Homicide",64
"426",72,"Other",2
"427",72,"Unknown",19
"428",72,NA,1049
"429",73,"Accident",44
"430",73,"Suicide",9
"431",73,"Homicide",40
"432",73,"Other",2
"433",73,"Unknown",12
"434",73,NA,1017
"435",74,"Accident",38
"436",74,"Suicide",8
"437",74,"Homicide",46
"438",74,"Other",1
"439",74,"Unknown",13
"440",74,NA,1031
"441",75,"Accident",49
"442",75,"Suicide",6
"443",75,"Homicide",33
"444",75,"Other",1
"445",75,"Unknown",12
"446",75,NA,1068
"447",76,"Accident",47
"448",76,"Suicide",7
"449",76,"Homicide",19
"450",76,"Other",1
"451",76,"Unknown",13
"452",76,NA,1123
"453",77,"Accident",49
"454",77,"Suicide",9
"455",77,"Homicide",19
"456",77,"Other",1
"457",77,"Unknown",12
"458",77,NA,1232
"459",78,"Accident",57
"460",78,"Suicide",13
"461",78,"Homicide",25
"462",78,"Unknown",14
"463",78,NA,1427
"464",79,"Accident",67
"465",79,"Suicide",8
"466",79,"Homicide",17
"467",79,"Other",2
"468",79,"Unknown",12
"469",79,NA,1198
"470",80,"Accident",46
"471",80,"Suicide",17
"472",80,"Homicide",41
"473",80,"Other",1
"474",80,"Unknown",16
"475",80,NA,1421
"476",81,"Accident",83
"477",81,"Suicide",15
"478",81,"Homicide",21
"479",81,"Unknown",18
"480",81,NA,1373
"481",82,"Accident",84
"482",82,"Suicide",9
"483",82,"Homicide",31
"484",82,"Other",3
"485",82,"Unknown",19
"486",82,NA,1360
"487",83,"Accident",63
"488",83,"Suicide",6
"489",83,"Homicide",27
"490",83,"Other",2
"491",83,"Unknown",18
"492",83,NA,1275
"493",84,"Accident",72
"494",84,"Suicide",14
"495",84,"Homicide",22
"496",84,"Other",3
"497",84,"Unknown",15
"498",84,NA,1254
"499",85,"Accident",74
"500",85,"Suicide",10
"501",85,"Homicide",28
"502",85,"Other",1
"503",85,"Unknown",17
"504",85,NA,1176
"505",86,"Accident",102
"506",86,"Suicide",13
"507",86,"Homicide",36
"508",86,"Other",2
"509",86,"Unknown",12
"510",86,NA,1244
"511",87,"Accident",90
"512",87,"Suicide",10
"513",87,"Homicide",39
"514",87,"Other",4
"515",87,"Unknown",12
"516",87,NA,1289
"517",88,"Accident",102
"518",88,"Suicide",6
"519",88,"Homicide",30
"520",88,"Other",5
"521",88,"Unknown",19
"522",88,NA,1282
"523",89,"Accident",97
"524",89,"Suicide",10
"525",89,"Homicide",41
"526",89,"Other",1
"527",89,"Unknown",17
"528",89,NA,1191
"529",90,"Accident",91
"530",90,"Suicide",10
"531",90,"Homicide",55
"532",90,"Other",3
"533",90,"Unknown",20
"534",90,NA,1300
"535",91,"Accident",70
"536",91,"Suicide",10
"537",91,"Homicide",47
"538",91,"Unknown",17
"539",91,NA,1208
"540",92,"Accident",69
"541",92,"Suicide",7
"542",92,"Homicide",75
"543",92,"Other",1
"544",92,"Unknown",11
"545",92,NA,1223
"546",93,"Accident",67
"547",93,"Suicide",6
"548",93,"Homicide",78
"549",93,"Unknown",13
"550",93,NA,1160
"551",94,"Accident",70
"552",94,"Suicide",10
"553",94,"Homicide",54
"554",94,"Other",3
"555",94,"Unknown",15
"556",94,NA,1139
"557",95,"Accident",61
"558",95,"Suicide",4
"559",95,"Homicide",74
"560",95,"Other",4
"561",95,"Unknown",22
"562",95,NA,1208
