"","H","circumstance","deaths"
"1",0,"Accident",66
"2",0,"Suicide",6
"3",0,"Homicide",82
"4",0,"Other",1
"5",0,"Unknown",8
"6",0,NA,981
"7",1,"Accident",50
"8",1,"Suicide",7
"9",1,"Homicide",61
"10",1,"Other",2
"11",1,"Unknown",13
"12",1,NA,985
"13",2,"Accident",46
"14",2,"Suicide",5
"15",2,"Homicide",65
"16",2,"Other",2
"17",2,"Unknown",17
"18",2,NA,1040
"19",3,"Accident",43
"20",3,"Suicide",3
"21",3,"Homicide",49
"22",3,"Unknown",13
"23",3,NA,1038
"24",4,"Accident",35
"25",4,"Suicide",5
"26",4,"Homicide",49
"27",4,"Other",5
"28",4,"Unknown",13
"29",4,NA,1112
"30",5,"Accident",41
"31",5,"Suicide",4
"32",5,"Homicide",35
"33",5,"Other",3
"34",5,"Unknown",17
"35",5,NA,1298
"36",6,"Accident",60
"37",6,"Suicide",17
"38",6,"Homicide",31
"39",6,"Other",3
"40",6,"Unknown",13
"41",6,NA,1370
"42",7,"Accident",57
"43",7,"Suicide",16
"44",7,"Homicide",26
"45",7,"Other",1
"46",7,"Unknown",13
"47",7,NA,1189
"48",8,"Accident",57
"49",8,"Suicide",19
"50",8,"Homicide",35
"51",8,"Unknown",13
"52",8,NA,1347
"53",9,"Accident",68
"54",9,"Suicide",5
"55",9,"Homicide",31
"56",9,"Other",2
"57",9,"Unknown",17
"58",9,NA,1334
"59",10,"Accident",55
"60",10,"Suicide",8
"61",10,"Homicide",41
"62",10,"Other",3
"63",10,"Unknown",13
"64",10,NA,1300
"65",11,"Accident",65
"66",11,"Suicide",10
"67",11,"Homicide",29
"68",11,"Other",1
"69",11,"Unknown",16
"70",11,NA,1181
"71",12,"Accident",60
"72",12,"Suicide",12
"73",12,"Homicide",44
"74",12,"Other",7
"75",12,"Unknown",12
"76",12,NA,1152
"77",13,"Accident",78
"78",13,"Suicide",6
"79",13,"Homicide",47
"80",13,"Unknown",12
"81",13,NA,1065
"82",14,"Accident",67
"83",14,"Suicide",12
"84",14,"Homicide",43
"85",14,"Other",1
"86",14,"Unknown",13
"87",14,NA,1253
"88",15,"Accident",99
"89",15,"Suicide",11
"90",15,"Homicide",37
"91",15,"Other",4
"92",15,"Unknown",10
"93",15,NA,1225
"94",16,"Accident",121
"95",16,"Suicide",13
"96",16,"Homicide",56
"97",16,"Other",4
"98",16,"Unknown",17
"99",16,NA,1158
"100",17,"Accident",96
"101",17,"Suicide",11
"102",17,"Homicide",46
"103",17,"Other",4
"104",17,"Unknown",18
"105",17,NA,1228
"106",18,"Accident",91
"107",18,"Suicide",7
"108",18,"Homicide",63
"109",18,"Other",3
"110",18,"Unknown",10
"111",18,NA,1275
"112",19,"Accident",77
"113",19,"Suicide",11
"114",19,"Homicide",71
"115",19,"Other",8
"116",19,"Unknown",11
"117",19,NA,1177
"118",20,"Accident",85
"119",20,"Suicide",6
"120",20,"Homicide",90
"121",20,"Other",2
"122",20,"Unknown",18
"123",20,NA,1175
"124",21,"Accident",74
"125",21,"Suicide",5
"126",21,"Homicide",87
"127",21,"Other",5
"128",21,"Unknown",17
"129",21,NA,1160
"130",22,"Accident",73
"131",22,"Suicide",6
"132",22,"Homicide",88
"133",22,"Unknown",12
"134",22,NA,1198
"135",23,"Accident",74
"136",23,"Suicide",10
"137",23,"Homicide",94
"138",23,"Other",2
"139",23,"Unknown",19
"140",23,NA,1172
"141",24,"Accident",60
"142",24,"Suicide",10
"143",24,"Homicide",70
"144",24,"Unknown",20
"145",24,NA,1013
"146",25,"Accident",59
"147",25,"Suicide",4
"148",25,"Homicide",70
"149",25,"Other",3
"150",25,"Unknown",17
"151",25,NA,968
"152",26,"Accident",53
"153",26,"Suicide",6
"154",26,"Homicide",47
"155",26,"Unknown",10
"156",26,NA,969
"157",27,"Accident",34
"158",27,"Suicide",6
"159",27,"Homicide",50
"160",27,"Other",3
"161",27,"Unknown",12
"162",27,NA,991
"163",28,"Accident",46
"164",28,"Suicide",6
"165",28,"Homicide",43
"166",28,"Other",1
"167",28,"Unknown",15
"168",28,NA,1079
"169",29,"Accident",54
"170",29,"Suicide",8
"171",29,"Homicide",34
"172",29,"Unknown",18
"173",29,NA,1193
"174",30,"Accident",73
"175",30,"Suicide",10
"176",30,"Homicide",45
"177",30,"Other",1
"178",30,"Unknown",16
"179",30,NA,1366
"180",31,"Accident",54
"181",31,"Suicide",15
"182",31,"Homicide",38
"183",31,"Other",1
"184",31,"Unknown",12
"185",31,NA,1169
"186",32,"Accident",59
"187",32,"Suicide",11
"188",32,"Homicide",32
"189",32,"Other",2
"190",32,"Unknown",14
"191",32,NA,1185
"192",33,"Accident",48
"193",33,"Suicide",5
"194",33,"Homicide",34
"195",33,"Other",4
"196",33,"Unknown",15
"197",33,NA,1303
"198",34,"Accident",69
"199",34,"Suicide",14
"200",34,"Homicide",39
"201",34,"Other",5
"202",34,"Unknown",14
"203",34,NA,1323
"204",35,"Accident",64
"205",35,"Suicide",13
"206",35,"Homicide",34
"207",35,"Other",6
"208",35,"Unknown",19
"209",35,NA,1248
"210",36,"Accident",61
"211",36,"Suicide",9
"212",36,"Homicide",37
"213",36,"Other",1
"214",36,"Unknown",14
"215",36,NA,1147
"216",37,"Accident",78
"217",37,"Suicide",10
"218",37,"Homicide",39
"219",37,"Other",2
"220",37,"Unknown",20
"221",37,NA,1144
"222",38,"Accident",86
"223",38,"Suicide",13
"224",38,"Homicide",33
"225",38,"Other",3
"226",38,"Unknown",23
"227",38,NA,1178
"228",39,"Accident",75
"229",39,"Suicide",15
"230",39,"Homicide",39
"231",39,"Other",1
"232",39,"Unknown",21
"233",39,NA,1240
"234",40,"Accident",84
"235",40,"Suicide",12
"236",40,"Homicide",47
"237",40,"Other",4
"238",40,"Unknown",18
"239",40,NA,1258
"240",41,"Accident",98
"241",41,"Suicide",13
"242",41,"Homicide",54
"243",41,"Other",2
"244",41,"Unknown",26
"245",41,NA,1198
"246",42,"Accident",86
"247",42,"Suicide",14
"248",42,"Homicide",68
"249",42,"Other",9
"250",42,"Unknown",24
"251",42,NA,1243
"252",43,"Accident",96
"253",43,"Suicide",10
"254",43,"Homicide",64
"255",43,"Unknown",19
"256",43,NA,1174
"257",44,"Accident",71
"258",44,"Suicide",6
"259",44,"Homicide",104
"260",44,"Other",3
"261",44,"Unknown",20
"262",44,NA,1279
"263",45,"Accident",104
"264",45,"Suicide",9
"265",45,"Homicide",74
"266",45,"Other",5
"267",45,"Unknown",23
"268",45,NA,1144
"269",46,"Accident",103
"270",46,"Suicide",7
"271",46,"Homicide",101
"272",46,"Other",1
"273",46,"Unknown",24
"274",46,NA,1155
"275",47,"Accident",111
"276",47,"Suicide",9
"277",47,"Homicide",121
"278",47,"Other",4
"279",47,"Unknown",25
"280",47,NA,1219
"281",48,"Accident",130
"282",48,"Suicide",17
"283",48,"Homicide",130
"284",48,"Other",5
"285",48,"Unknown",23
"286",48,NA,1205
"287",49,"Accident",114
"288",49,"Suicide",16
"289",49,"Homicide",146
"290",49,"Other",2
"291",49,"Unknown",20
"292",49,NA,1121
"293",50,"Accident",114
"294",50,"Suicide",20
"295",50,"Homicide",167
"296",50,"Other",1
"297",50,"Unknown",21
"298",50,NA,1119
"299",51,"Accident",110
"300",51,"Suicide",12
"301",51,"Homicide",184
"302",51,"Other",3
"303",51,"Unknown",23
"304",51,NA,1074
"305",52,"Accident",143
"306",52,"Suicide",12
"307",52,"Homicide",181
"308",52,"Other",2
"309",52,"Unknown",23
"310",52,NA,1137
"311",53,"Accident",107
"312",53,"Suicide",10
"313",53,"Homicide",141
"314",53,"Unknown",26
"315",53,NA,1262
"316",54,"Accident",120
"317",54,"Suicide",16
"318",54,"Homicide",102
"319",54,"Other",2
"320",54,"Unknown",31
"321",54,NA,1336
"322",55,"Accident",99
"323",55,"Suicide",14
"324",55,"Homicide",100
"325",55,"Other",8
"326",55,"Unknown",25
"327",55,NA,1222
"328",56,"Accident",87
"329",56,"Suicide",17
"330",56,"Homicide",79
"331",56,"Other",2
"332",56,"Unknown",19
"333",56,NA,1334
"334",57,"Accident",99
"335",57,"Suicide",9
"336",57,"Homicide",63
"337",57,"Other",3
"338",57,"Unknown",28
"339",57,NA,1403
"340",58,"Accident",103
"341",58,"Suicide",12
"342",58,"Homicide",60
"343",58,"Other",7
"344",58,"Unknown",18
"345",58,NA,1376
"346",59,"Accident",96
"347",59,"Suicide",9
"348",59,"Homicide",56
"349",59,"Other",2
"350",59,"Unknown",21
"351",59,NA,1306
"352",60,"Accident",80
"353",60,"Suicide",19
"354",60,"Homicide",52
"355",60,"Other",3
"356",60,"Unknown",15
"357",60,NA,1282
"358",61,"Accident",93
"359",61,"Suicide",18
"360",61,"Homicide",46
"361",61,"Other",3
"362",61,"Unknown",16
"363",61,NA,1201
"364",62,"Accident",126
"365",62,"Suicide",12
"366",62,"Homicide",58
"367",62,"Other",5
"368",62,"Unknown",16
"369",62,NA,1243
"370",63,"Accident",162
"371",63,"Suicide",12
"372",63,"Homicide",48
"373",63,"Other",3
"374",63,"Unknown",27
"375",63,NA,1238
"376",64,"Accident",145
"377",64,"Suicide",17
"378",64,"Homicide",64
