DATE,UNRATE
01-08-74,5.5
01-09-74,5.9
01-10-74,6
01-11-74,6.6
01-12-74,7.2
01-01-75,8.1
01-02-75,8.1
01-03-75,8.6
01-04-75,8.8
01-05-75,9
01-06-75,8.8
01-07-75,8.6
01-08-75,8.4
01-09-75,8.4
01-10-75,8.4
01-11-75,8.3
01-12-75,8.2
01-01-76,7.9
01-02-76,7.7
01-03-76,7.6
01-04-76,7.7
01-05-76,7.4
01-06-76,7.6
01-07-76,7.8
01-08-76,7.8
01-09-76,7.6
01-10-76,7.7
01-11-76,7.8
01-12-76,7.8
01-01-77,7.5
01-02-77,7.6
01-03-77,7.4
01-04-77,7.2
01-05-77,7
01-06-77,7.2
01-07-77,6.9
01-08-77,7
01-09-77,6.8
01-10-77,6.8
01-11-77,6.8
01-12-77,6.4
01-01-78,6.4
01-02-78,6.3
01-03-78,6.3
01-04-78,6.1
01-05-78,6
01-06-78,5.9
01-07-78,6.2
01-08-78,5.9
01-09-78,6
01-10-78,5.8
01-11-78,5.9
01-12-78,6
01-01-79,5.9
01-02-79,5.9
01-03-79,5.8
01-04-79,5.8
01-05-79,5.6
01-06-79,5.7
01-07-79,5.7
01-08-79,6
01-09-79,5.9
01-10-79,6
01-11-79,5.9
01-12-79,6
01-01-80,6.3
01-02-80,6.3
01-03-80,6.3
01-04-80,6.9
01-05-80,7.5
01-06-80,7.6
01-07-80,7.8
01-08-80,7.7
01-09-80,7.5
01-10-80,7.5
01-11-80,7.5
01-12-80,7.2
01-01-81,7.5
01-02-81,7.4
01-03-81,7.4
01-04-81,7.2
01-05-81,7.5
01-06-81,7.5
01-07-81,7.2
01-08-81,7.4
01-09-81,7.6
01-10-81,7.9
01-11-81,8.3
01-12-81,8.5
01-01-82,8.6
01-02-82,8.9
01-03-82,9
01-04-82,9.3
01-05-82,9.4
01-06-82,9.6
01-07-82,9.8
01-08-82,9.8
01-09-82,10.1
01-10-82,10.4
01-11-82,10.8
01-12-82,10.8
01-01-83,10.4
01-02-83,10.4
01-03-83,10.3
01-04-83,10.2
01-05-83,10.1
01-06-83,10.1
01-07-83,9.4
01-08-83,9.5
01-09-83,9.2
01-10-83,8.8
01-11-83,8.5
01-12-83,8.3
01-01-84,8
01-02-84,7.8
01-03-84,7.8
01-04-84,7.7
01-05-84,7.4
01-06-84,7.2
01-07-84,7.5
01-08-84,7.5
01-09-84,7.3
01-10-84,7.4
01-11-84,7.2
01-12-84,7.3
01-01-85,7.3
01-02-85,7.2
01-03-85,7.2
01-04-85,7.3
01-05-85,7.2
01-06-85,7.4
01-07-85,7.4
01-08-85,7.1
01-09-85,7.1
01-10-85,7.1
01-11-85,7
01-12-85,7
01-01-86,6.7
01-02-86,7.2
01-03-86,7.2
01-04-86,7.1
01-05-86,7.2
01-06-86,7.2
01-07-86,7
01-08-86,6.9
01-09-86,7
01-10-86,7
01-11-86,6.9
01-12-86,6.6
01-01-87,6.6
01-02-87,6.6
01-03-87,6.6
01-04-87,6.3
01-05-87,6.3
01-06-87,6.2
01-07-87,6.1
01-08-87,6
01-09-87,5.9
01-10-87,6
01-11-87,5.8
01-12-87,5.7
01-01-88,5.7
01-02-88,5.7
01-03-88,5.7
01-04-88,5.4
01-05-88,5.6
01-06-88,5.4
01-07-88,5.4
01-08-88,5.6
01-09-88,5.4
01-10-88,5.4
01-11-88,5.3
01-12-88,5.3
01-01-89,5.4
01-02-89,5.2
01-03-89,5
01-04-89,5.2
01-05-89,5.2
01-06-89,5.3
01-07-89,5.2
01-08-89,5.2
01-09-89,5.3
01-10-89,5.3
01-11-89,5.4
01-12-89,5.4
01-01-90,5.4
01-02-90,5.3
01-03-90,5.2
01-04-90,5.4
01-05-90,5.4
01-06-90,5.2
01-07-90,5.5
01-08-90,5.7
01-09-90,5.9
01-10-90,5.9
01-11-90,6.2
01-12-90,6.3
01-01-91,6.4
01-02-91,6.6
01-03-91,6.8
01-04-91,6.7
01-05-91,6.9
01-06-91,6.9
01-07-91,6.8
01-08-91,6.9
01-09-91,6.9
01-10-91,7
01-11-91,7
01-12-91,7.3
01-01-92,7.3
01-02-92,7.4
01-03-92,7.4
01-04-92,7.4
01-05-92,7.6
01-06-92,7.8
01-07-92,7.7
01-08-92,7.6
01-09-92,7.6
01-10-92,7.3
01-11-92,7.4
01-12-92,7.4
01-01-93,7.3
01-02-93,7.1
01-03-93,7
01-04-93,7.1
01-05-93,7.1
01-06-93,7
01-07-93,6.9
01-08-93,6.8
01-09-93,6.7
01-10-93,6.8
01-11-93,6.6
01-12-93,6.5
01-01-94,6.6
01-02-94,6.6
01-03-94,6.5
01-04-94,6.4
01-05-94,6.1
01-06-94,6.1
01-07-94,6.1
01-08-94,6
01-09-94,5.9
01-10-94,5.8
01-11-94,5.6
01-12-94,5.5
01-01-95,5.6
01-02-95,5.4
01-03-95,5.4
01-04-95,5.8
01-05-95,5.6
01-06-95,5.6
01-07-95,5.7
01-08-95,5.7
01-09-95,5.6
01-10-95,5.5
01-11-95,5.6
01-12-95,5.6
01-01-96,5.6
01-02-96,5.5
01-03-96,5.5
01-04-96,5.6
01-05-96,5.6
01-06-96,5.3
01-07-96,5.5
01-08-96,5.1
01-09-96,5.2
01-10-96,5.2
01-11-96,5.4
01-12-96,5.4
01-01-97,5.3
01-02-97,5.2
01-03-97,5.2
01-04-97,5.1
01-05-97,4.9
01-06-97,5
01-07-97,4.9
01-08-97,4.8
01-09-97,4.9
01-10-97,4.7
01-11-97,4.6
01-12-97,4.7
01-01-98,4.6
01-02-98,4.6
01-03-98,4.7
01-04-98,4.3
01-05-98,4.4
01-06-98,4.5
01-07-98,4.5
01-08-98,4.5
01-09-98,4.6
01-10-98,4.5
01-11-98,4.4
01-12-98,4.4
01-01-99,4.3
01-02-99,4.4
01-03-99,4.2
01-04-99,4.3
01-05-99,4.2
01-06-99,4.3
01-07-99,4.3
01-08-99,4.2
01-09-99,4.2
01-10-99,4.1
01-11-99,4.1
01-12-99,4
01-01-00,4
01-02-00,4.1
01-03-00,4
01-04-00,3.8
01-05-00,4
01-06-00,4
01-07-00,4
01-08-00,4.1
01-09-00,3.9
01-10-00,3.9
01-11-00,3.9
01-12-00,3.9
01-01-01,4.2
01-02-01,4.2
01-03-01,4.3
01-04-01,4.4
01-05-01,4.3
01-06-01,4.5
01-07-01,4.6
01-08-01,4.9
01-09-01,5
01-10-01,5.3
01-11-01,5.5
01-12-01,5.7
01-01-02,5.7
01-02-02,5.7
01-03-02,5.7
01-04-02,5.9
01-05-02,5.8
01-06-02,5.8
01-07-02,5.8
01-08-02,5.7
01-09-02,5.7
01-10-02,5.7
01-11-02,5.9
01-12-02,6
01-01-03,5.8
01-02-03,5.9
01-03-03,5.9
01-04-03,6
01-05-03,6.1
01-06-03,6.3
01-07-03,6.2
01-08-03,6.1
01-09-03,6.1
01-10-03,6
01-11-03,5.8
01-12-03,5.7
01-01-04,5.7
01-02-04,5.6
01-03-04,5.8
01-04-04,5.6
01-05-04,5.6
01-06-04,5.6
01-07-04,5.5
01-08-04,5.4
01-09-04,5.4
01-10-04,5.5
01-11-04,5.4
01-12-04,5.4
01-01-05,5.3
01-02-05,5.4
01-03-05,5.2
01-04-05,5.2
01-05-05,5.1
01-06-05,5
01-07-05,5
01-08-05,4.9
01-09-05,5
01-10-05,5
01-11-05,5
01-12-05,4.9
01-01-06,4.7
01-02-06,4.8
01-03-06,4.7
01-04-06,4.7
01-05-06,4.6
01-06-06,4.6
01-07-06,4.7
01-08-06,4.7
01-09-06,4.5
01-10-06,4.4
01-11-06,4.5
01-12-06,4.4
01-01-07,4.6
01-02-07,4.5
01-03-07,4.4
01-04-07,4.5
01-05-07,4.4
01-06-07,4.6
01-07-07,4.7
01-08-07,4.6
01-09-07,4.7
01-10-07,4.7
01-11-07,4.7
01-12-07,5
01-01-08,5
01-02-08,4.9
01-03-08,5.1
01-04-08,5
01-05-08,5.4
01-06-08,5.6
01-07-08,5.8
01-08-08,6.1
01-09-08,6.1
01-10-08,6.5
01-11-08,6.8
01-12-08,7.3
01-01-09,7.8
01-02-09,8.3
01-03-09,8.7
01-04-09,9
01-05-09,9.4
01-06-09,9.5
01-07-09,9.5
01-08-09,9.6
01-09-09,9.8
01-10-09,10
01-11-09,9.9
01-12-09,9.9
01-01-10,9.8
01-02-10,9.8
01-03-10,9.9
01-04-10,9.9
01-05-10,9.6
01-06-10,9.4
01-07-10,9.4
01-08-10,9.5
01-09-10,9.5
01-10-10,9.4
01-11-10,9.8
01-12-10,9.3
01-01-11,9.1
01-02-11,9
01-03-11,9
01-04-11,9.1
01-05-11,9
01-06-11,9.1
01-07-11,9
01-08-11,9
01-09-11,9
01-10-11,8.8
01-11-11,8.6
01-12-11,8.5
01-01-12,8.3
01-02-12,8.3
01-03-12,8.2
01-04-12,8.2
01-05-12,8.2
01-06-12,8.2
01-07-12,8.2
01-08-12,8.1
01-09-12,7.8
01-10-12,7.8
01-11-12,7.7
01-12-12,7.9
01-01-13,8
01-02-13,7.7
01-03-13,7.5
01-04-13,7.6
01-05-13,7.5
01-06-13,7.5
01-07-13,7.3
01-08-13,7.2
01-09-13,7.2
01-10-13,7.2
01-11-13,6.9
01-12-13,6.7
01-01-14,6.6
01-02-14,6.7
01-03-14,6.7
01-04-14,6.2
01-05-14,6.3
01-06-14,6.1
01-07-14,6.2
01-08-14,6.1
01-09-14,5.9
01-10-14,5.7
01-11-14,5.8
01-12-14,5.6
01-01-15,5.7
01-02-15,5.5
01-03-15,5.4
01-04-15,5.4
01-05-15,5.6
01-06-15,5.3
01-07-15,5.2
01-08-15,5.1
01-09-15,5
01-10-15,5
01-11-15,5.1
01-12-15,5
01-01-16,4.9
01-02-16,4.9
01-03-16,5
01-04-16,5
01-05-16,4.8
01-06-16,4.9
01-07-16,4.8
01-08-16,4.9
01-09-16,5
01-10-16,4.9
01-11-16,4.7
01-12-16,4.7
01-01-17,4.7
01-02-17,4.6
01-03-17,4.4
01-04-17,4.4
01-05-17,4.4
01-06-17,4.3
01-07-17,4.3
01-08-17,4.4
01-09-17,4.2
01-10-17,4.1
01-11-17,4.2
01-12-17,4.1
01-01-18,4.1
01-02-18,4.1
01-03-18,4
01-04-18,4
01-05-18,3.8
01-06-18,4
01-07-18,3.8
01-08-18,3.8
01-09-18,3.7
01-10-18,3.8
01-11-18,3.7
01-12-18,3.9
01-01-19,4
01-02-19,3.8
01-03-19,3.8
01-04-19,3.6
01-05-19,3.6
01-06-19,3.7
01-07-19,3.7
01-08-19,3.7
01-09-19,3.5
01-10-19,3.6
01-11-19,3.5
01-12-19,3.5
01-01-20,3.6
01-02-20,3.5
01-03-20,4.4
