DATE,UNRATE
01-01-48,3.4
01-02-48,3.8
01-03-48,4
01-04-48,3.9
01-05-48,3.5
01-06-48,3.6
01-07-48,3.6
01-08-48,3.9
01-09-48,3.8
01-10-48,3.7
01-11-48,3.8
01-12-48,4
01-01-49,4.3
01-02-49,4.7
01-03-49,5
01-04-49,5.3
01-05-49,6.1
01-06-49,6.2
01-07-49,6.7
01-08-49,6.8
01-09-49,6.6
01-10-49,7.9
01-11-49,6.4
01-12-49,6.6
01-01-50,6.5
01-02-50,6.4
01-03-50,6.3
01-04-50,5.8
01-05-50,5.5
01-06-50,5.4
01-07-50,5
01-08-50,4.5
01-09-50,4.4
01-10-50,4.2
01-11-50,4.2
01-12-50,4.3
01-01-51,3.7
01-02-51,3.4
01-03-51,3.4
01-04-51,3.1
01-05-51,3
01-06-51,3.2
01-07-51,3.1
01-08-51,3.1
01-09-51,3.3
01-10-51,3.5
01-11-51,3.5
01-12-51,3.1
01-01-52,3.2
01-02-52,3.1
01-03-52,2.9
01-04-52,2.9
01-05-52,3
01-06-52,3
01-07-52,3.2
01-08-52,3.4
01-09-52,3.1
01-10-52,3
01-11-52,2.8
01-12-52,2.7
01-01-53,2.9
01-02-53,2.6
01-03-53,2.6
01-04-53,2.7
01-05-53,2.5
01-06-53,2.5
01-07-53,2.6
01-08-53,2.7
01-09-53,2.9
01-10-53,3.1
01-11-53,3.5
01-12-53,4.5
01-01-54,4.9
01-02-54,5.2
01-03-54,5.7
01-04-54,5.9
01-05-54,5.9
01-06-54,5.6
01-07-54,5.8
01-08-54,6
01-09-54,6.1
01-10-54,5.7
01-11-54,5.3
01-12-54,5
01-01-55,4.9
01-02-55,4.7
01-03-55,4.6
01-04-55,4.7
01-05-55,4.3
01-06-55,4.2
01-07-55,4
01-08-55,4.2
01-09-55,4.1
01-10-55,4.3
01-11-55,4.2
01-12-55,4.2
01-01-56,4
01-02-56,3.9
01-03-56,4.2
01-04-56,4
01-05-56,4.3
01-06-56,4.3
01-07-56,4.4
01-08-56,4.1
01-09-56,3.9
01-10-56,3.9
01-11-56,4.3
01-12-56,4.2
01-01-57,4.2
01-02-57,3.9
01-03-57,3.7
01-04-57,3.9
01-05-57,4.1
01-06-57,4.3
01-07-57,4.2
01-08-57,4.1
01-09-57,4.4
01-10-57,4.5
01-11-57,5.1
01-12-57,5.2
01-01-58,5.8
01-02-58,6.4
01-03-58,6.7
01-04-58,7.4
01-05-58,7.4
01-06-58,7.3
01-07-58,7.5
01-08-58,7.4
01-09-58,7.1
01-10-58,6.7
01-11-58,6.2
01-12-58,6.2
01-01-59,6
01-02-59,5.9
01-03-59,5.6
01-04-59,5.2
01-05-59,5.1
01-06-59,5
01-07-59,5.1
01-08-59,5.2
01-09-59,5.5
01-10-59,5.7
01-11-59,5.8
01-12-59,5.3
01-01-60,5.2
01-02-60,4.8
01-03-60,5.4
01-04-60,5.2
01-05-60,5.1
01-06-60,5.4
01-07-60,5.5
01-08-60,5.6
01-09-60,5.5
01-10-60,6.1
01-11-60,6.1
01-12-60,6.6
01-01-61,6.6
01-02-61,6.9
01-03-61,6.9
01-04-61,7
01-05-61,7.1
01-06-61,6.9
01-07-61,7
01-08-61,6.6
01-09-61,6.7
01-10-61,6.5
01-11-61,6.1
01-12-61,6
01-01-62,5.8
01-02-62,5.5
01-03-62,5.6
01-04-62,5.6
01-05-62,5.5
01-06-62,5.5
01-07-62,5.4
01-08-62,5.7
01-09-62,5.6
01-10-62,5.4
01-11-62,5.7
01-12-62,5.5
01-01-63,5.7
01-02-63,5.9
01-03-63,5.7
01-04-63,5.7
01-05-63,5.9
01-06-63,5.6
01-07-63,5.6
01-08-63,5.4
01-09-63,5.5
01-10-63,5.5
01-11-63,5.7
01-12-63,5.5
01-01-64,5.6
01-02-64,5.4
01-03-64,5.4
01-04-64,5.3
01-05-64,5.1
01-06-64,5.2
01-07-64,4.9
01-08-64,5
01-09-64,5.1
01-10-64,5.1
01-11-64,4.8
01-12-64,5
01-01-65,4.9
01-02-65,5.1
01-03-65,4.7
01-04-65,4.8
01-05-65,4.6
01-06-65,4.6
01-07-65,4.4
01-08-65,4.4
01-09-65,4.3
01-10-65,4.2
01-11-65,4.1
01-12-65,4
01-01-66,4
01-02-66,3.8
01-03-66,3.8
01-04-66,3.8
01-05-66,3.9
01-06-66,3.8
01-07-66,3.8
01-08-66,3.8
01-09-66,3.7
01-10-66,3.7
01-11-66,3.6
01-12-66,3.8
01-01-67,3.9
01-02-67,3.8
01-03-67,3.8
01-04-67,3.8
01-05-67,3.8
01-06-67,3.9
01-07-67,3.8
01-08-67,3.8
01-09-67,3.8
01-10-67,4
01-11-67,3.9
01-12-67,3.8
01-01-68,3.7
01-02-68,3.8
01-03-68,3.7
01-04-68,3.5
01-05-68,3.5
01-06-68,3.7
01-07-68,3.7
01-08-68,3.5
01-09-68,3.4
01-10-68,3.4
01-11-68,3.4
01-12-68,3.4
01-01-69,3.4
01-02-69,3.4
01-03-69,3.4
01-04-69,3.4
01-05-69,3.4
01-06-69,3.5
01-07-69,3.5
01-08-69,3.5
01-09-69,3.7
01-10-69,3.7
01-11-69,3.5
01-12-69,3.5
01-01-70,3.9
01-02-70,4.2
01-03-70,4.4
01-04-70,4.6
01-05-70,4.8
01-06-70,4.9
01-07-70,5
01-08-70,5.1
01-09-70,5.4
01-10-70,5.5
01-11-70,5.9
01-12-70,6.1
01-01-71,5.9
01-02-71,5.9
01-03-71,6
01-04-71,5.9
01-05-71,5.9
01-06-71,5.9
01-07-71,6
01-08-71,6.1
01-09-71,6
01-10-71,5.8
01-11-71,6
01-12-71,6
01-01-72,5.8
01-02-72,5.7
01-03-72,5.8
01-04-72,5.7
01-05-72,5.7
01-06-72,5.7
01-07-72,5.6
01-08-72,5.6
01-09-72,5.5
01-10-72,5.6
01-11-72,5.3
01-12-72,5.2
01-01-73,4.9
01-02-73,5
01-03-73,4.9
01-04-73,5
01-05-73,4.9
01-06-73,4.9
01-07-73,4.8
01-08-73,4.8
01-09-73,4.8
01-10-73,4.6
01-11-73,4.8
01-12-73,4.9
01-01-74,5.1
01-02-74,5.2
01-03-74,5.1
01-04-74,5.1
01-05-74,5.1
01-06-74,5.4
01-07-74,5.5
