Date/time,"Feb 20, 2024 (Tue 03:40 PM UTC)"

Row variable,age,Age
Column variable,nativity,Foreign birthplace or parentage
Weight variable,perwt,Person weight

Frequency Distribution
,,0 N/A,"1 Native born, and both parents native born","2 Native born, and father foreign, mother native","3 Native born, and mother foreign, father native","4 Native born, and both parents foreign",5 Foreign born,ROW TOTAL
Weighted N,95 95,9800.0,39106.5,1990.7,299.0,4613.9,12867.2,68677.3
Weighted N,96 96,6931.0,30431.7,1269.7,293.5,2504.3,8393.3,49823.4
Weighted N,97 97,3188.0,23843.4,1152.3,400.0,2856.8,7511.9,38952.5
Weighted N,98 98,3510.0,18375.9,689.9,391.4,1784.4,5239.0,29990.6
Weighted N,99 99,2673.0,16733.3,673.6,400.0,2044.1,4896.8,27420.8
Weighted N,100 100 (100+ in 1960-1970),8157.0,103866.0,3199.0,1710.6,13307.9,14390.0,144630.5
Weighted N,101 101,0.0,1710.5,0.0,71.7,0.0,602.6,2384.8
Weighted N,102 102,0.0,1173.9,0.0,0.0,96.9,611.1,1882.0
Weighted N,103 103,0.0,1455.1,0.0,0.0,0.0,128.8,1583.8
Weighted N,104 104,0.0,1140.7,0.0,0.0,212.1,0.0,1352.8
Weighted N,105 105,0.0,880.1,0.0,0.0,0.0,189.7,1069.8
Weighted N,106 106,0.0,466.9,0.0,0.0,0.0,76.4,543.3
Weighted N,107 107,0.0,5.2,0.0,0.0,0.0,177.2,182.4
Weighted N,108 108,0.0,702.5,0.0,0.0,0.0,203.7,906.3
Weighted N,109 109,0.0,261.9,0.0,0.0,0.0,0.0,261.9
Weighted N,110 110,0.0,617.5,0.0,0.0,135.7,71.7,825.0
Weighted N,111 111,0.0,255.8,0.0,0.0,0.0,0.0,255.8
Weighted N,112 112 (112+ in the 1980 internal data),0.0,321.8,0.0,0.0,111.0,0.0,432.7
Weighted N,114 114,0.0,389.3,0.0,0.0,0.0,0.0,389.3
Weighted N,115 115 (115+ in the 1990 internal data),0.0,15.2,0.0,0.0,0.0,0.0,15.2
Weighted N,116 116,0.0,207.5,0.0,0.0,71.7,0.0,279.2
Weighted N,118 118,0.0,77.4,0.0,0.0,0.0,0.0,77.4
Weighted N,119 119,0.0,108.0,0.0,0.0,0.0,0.0,108.0
Weighted N,120 120,0.0,10.2,0.0,0.0,0.0,0.0,10.2
Weighted N,122 122,0.0,101.9,0.0,0.0,0.0,0.0,101.9
Weighted N,125 125,0.0,71.7,0.0,0.0,0.0,0.0,71.7
Weighted N,126 126,0.0,101.0,0.0,0.0,0.0,0.0,101.0
Weighted N,130 130,0.0,5.0,0.0,0.0,0.0,0.0,5.0
Weighted N,133 133,0.0,5.2,0.0,0.0,0.0,0.0,5.2
Weighted N,COL TOTAL,200882961.0,691921066.4,36431968.6,20168123.3,105209938.8,96665897.6,1151279955.7
