Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1991:Q2,ageunder40,11.6,16.3,20.8,30.7,11.8,12.3,14.2,11.8,45.1,46.4,46.8,11.5
1991:Q3,age70plus,19.8,17.4,15.8,10.8,19.9,10.4,13.2,29.3,2.1,1.3,3.1,12.4
1991:Q3,age55to69,35.6,32.8,28,24.4,38.4,36.5,35.5,34.7,15.3,14.4,14.6,35.3
1991:Q3,age40to54,32.7,33.6,35.1,34.5,30.3,40.7,37.3,24.2,39.1,40.2,35.2,41.1
1991:Q3,ageunder40,11.9,16.3,21.2,30.4,11.4,12.3,14,11.8,43.5,44.2,47.1,11.2
1991:Q4,age70plus,18.8,16.5,15.8,10.9,16,9.6,11.8,28.5,2.3,1.4,3,13.1
1991:Q4,age55to69,36.3,33.5,28.1,24.4,42.6,36.5,36.6,35,15.7,14.7,15.1,36.8
1991:Q4,age40to54,33.1,33.9,35.1,34.4,30.4,41.6,37.9,24.8,39.1,40.6,34.4,39
1991:Q4,ageunder40,11.8,16.1,21,30.4,11.1,12.3,13.7,11.8,42.9,43.4,47.5,11.1
1992:Q1,age70plus,19.3,17,16.6,11.4,16.4,9.9,12.6,28.9,2.6,1.9,2.9,12.4
1992:Q1,age55to69,35.5,32.9,27.9,24,41.8,35.9,36,33.9,16.4,15.7,15.1,35.4
1992:Q1,age40to54,33.4,34.2,34.5,34.4,30.8,42.2,37.9,25.6,39.1,40.4,34.2,41.1
1992:Q1,ageunder40,11.8,15.9,20.9,30.2,11,12,13.5,11.6,41.9,42,47.8,11.1
1992:Q2,age70plus,20,17.7,17.2,11.7,18,10.3,13.8,29.7,2.8,2.2,2.9,12.7
1992:Q2,age55to69,34.7,32.2,27.8,23.8,40.5,35.2,35.5,32.6,16.9,16.3,15.1,35.6
1992:Q2,age40to54,33.5,34.3,34,34.4,31,42.8,37.3,26.3,39.1,40.5,33.9,40.7
1992:Q2,ageunder40,11.8,15.8,21,30.2,10.5,11.7,13.4,11.4,41.1,40.9,48.1,11
1992:Q3,age70plus,19.7,17.3,16,11.9,17.7,10.2,14,30,2.7,2.1,2.9,12.4
1992:Q3,age55to69,34.6,32,27.9,24,40.9,34.7,35.5,31.7,16.1,15.3,15.2,35.6
1992:Q3,age40to54,33.9,34.9,34.8,34.3,31.3,43.6,37.3,26.9,41,43.1,33.6,41.3
1992:Q3,ageunder40,11.8,15.7,21.3,29.8,10.1,11.6,13.2,11.5,40.2,39.6,48.2,10.7
1992:Q4,age70plus,19.1,16.9,16.1,12.3,15.3,10.3,12.9,29.4,2.8,2.2,2.8,12.1
1992:Q4,age55to69,35.2,32.6,27.6,23.9,43.1,35.1,35.8,32.2,16,15.2,14.9,35.9
1992:Q4,age40to54,33.9,35,35,34.2,31.7,43.1,38.3,26.8,41.6,43.8,34.1,41.3
1992:Q4,ageunder40,11.8,15.6,21.4,29.6,10,11.5,13,11.6,39.7,38.9,48.1,10.7
1993:Q1,age70plus,19.8,17.5,18.6,12.6,15.5,10.5,12.8,29.1,3.1,2.7,2.4,12.5
1993:Q1,age55to69,34.8,32.5,27.1,23.2,42.5,35.3,35.5,32.6,17.8,17.3,15.3,36.8
1993:Q1,age40to54,34.1,34.7,33.5,34.4,32.2,42.7,38.9,27.3,38.7,39.8,34.2,40.2
1993:Q1,ageunder40,11.4,15.3,20.8,29.8,9.8,11.6,12.8,11.1,40.5,40.2,48.1,10.5
1993:Q2,age70plus,19.7,17.4,18.2,12.9,15.2,10.8,12.7,29.2,3,2.7,2.3,12.2
1993:Q2,age55to69,34.7,32.3,26.9,23.2,42.2,35.4,35,32.6,17.3,16.9,14.9,37.1
1993:Q2,age40to54,34.2,35,34,34.4,32.9,42.4,39.6,27.4,39.8,41.1,35,40.4
1993:Q2,ageunder40,11.3,15.2,20.8,29.5,9.8,11.5,12.7,10.9,39.8,39.4,47.8,10.3
1993:Q3,age70plus,19.6,17.3,17.5,13.2,15,11,12.6,29.2,2.9,2.5,2.3,12.8
1993:Q3,age55to69,34.7,32.3,26.8,23.3,42.1,35.4,34.6,32.4,16.8,16,14.5,38.9
1993:Q3,age40to54,34.4,35.3,34.7,34.4,33.3,42.1,40.2,27.6,41,42.6,35.8,38.5
1993:Q3,ageunder40,11.3,15.1,20.9,29.1,9.5,11.5,12.6,10.8,39.4,38.9,47.5,9.9
1993:Q4,age70plus,19.5,17.2,17.8,13.3,14.1,11.2,12.1,29.1,3,2.6,2.4,13.1
1993:Q4,age55to69,34.8,32.3,26.6,23.3,42.6,35.3,34.4,32.3,16.7,16.1,13.7,39.9
1993:Q4,age40to54,34.6,35.5,34.9,34.5,33.9,42.1,41.1,27.7,41.1,42.6,36.7,37.5
1993:Q4,ageunder40,11.2,15,20.8,29,9.4,11.4,12.4,10.9,39.1,38.6,47.2,9.5
1994:Q1,age70plus,20.6,18.1,19.3,13.7,15.8,11.9,13.3,29.1,3.1,2.7,2.3,12.7
1994:Q1,age55to69,34,31.7,26.3,22.8,40.3,35,33.1,32.7,17.5,17.3,13.2,40.2
1994:Q1,age40to54,34.9,35.5,34.1,34.6,34.7,41.8,41.3,28.3,39.5,40.1,37.7,37.6
1994:Q1,ageunder40,10.6,14.6,20.3,28.9,9.2,11.2,12.3,9.8,39.9,39.9,46.8,9.5
1994:Q2,age70plus,21.9,19.3,19.5,13.8,19.2,12.9,15.4,30.1,3.2,2.8,2.5,12.3
1994:Q2,age55to69,32.9,30.7,26.1,22.7,37.2,34.5,31.8,31.7,17.4,17.5,12.4,40.3
1994:Q2,age40to54,34.8,35.5,34.2,34.7,35,41.4,40.6,28.5,39.9,40.4,38.6,37.9
