DATE,CPALTT01USQ661S
01-01-60,12.40276717
01-04-60,12.47730472
01-07-60,12.48433657
01-10-60,12.56449959
01-01-61,12.58981423
01-04-61,12.58559513
01-07-61,12.63481804
01-10-61,12.65310083
01-01-62,12.70232374
01-04-62,12.75014029
01-07-62,12.78670588
01-10-62,12.81764599
01-01-63,12.85843069
01-04-63,12.88233896
01-07-63,12.96109562
01-10-63,12.99625484
01-01-64,13.04969686
01-04-64,13.07079239
01-07-64,13.10032614
01-10-64,13.1608
01-01-65,13.2015847
01-04-65,13.28596683
01-07-65,13.32534516
01-10-65,13.3956636
01-01-66,13.52083043
01-04-66,13.64318453
01-07-66,13.76131951
01-10-66,13.87382902
01-01-67,13.90898824
01-04-67,13.99337038
01-07-67,14.13400727
01-10-67,14.28870784
01-01-68,14.42934473
01-04-68,14.56998162
01-07-68,14.76687326
01-10-68,14.94970122
01-01-69,15.13252917
01-04-69,15.37161188
01-07-69,15.58256721
01-10-69,15.82164992
01-01-70,16.07479632
01-04-70,16.29981534
01-07-70,16.46857961
01-10-70,16.70766232
01-01-71,16.84829921
01-04-71,17.00299978
01-07-71,17.17176405
01-10-71,17.29833725
01-01-72,17.43897414
01-04-72,17.55148365
01-07-72,17.69212054
01-10-72,17.87494849
01-01-73,18.15622227
01-04-73,18.53594187
01-07-73,18.90159778
01-10-73,19.3797632
01-01-74,19.95637444
01-04-74,20.49079461
01-07-74,21.06740585
01-10-74,21.71433554
01-01-75,22.17843727
01-04-75,22.44564736
01-07-75,22.8956854
01-10-75,23.31759607
01-01-76,23.58480615
01-04-76,23.79576149
01-07-76,24.17548108
01-10-76,24.5270733
01-01-77,24.97711135
01-04-77,25.4130857
01-07-77,25.76467792
01-10-77,26.14439752
01-01-78,26.59443556
01-04-78,27.19917418
01-07-78,27.83204018
01-10-78,28.47896986
01-01-79,29.19621799
01-04-79,30.12442146
01-07-79,31.09481598
01-10-79,32.0792742
01-01-80,33.3450062
01-04-80,34.4701013
01-07-80,35.11703099
01-10-80,36.1014892
01-01-81,37.10001111
01-04-81,37.873514
01-07-81,38.92829066
01-10-81,39.56115665
01-01-82,39.91274887
01-04-82,40.48936012
01-07-82,41.19254456
01-10-82,41.31911776
01-01-83,41.34724513
01-04-83,41.82541055
01-07-83,42.23325753
01-10-83,42.65516819
01-01-84,43.25990681
01-04-84,43.66775379
01-07-84,44.04747339
01-10-84,44.42719299
01-01-85,44.83503996
01-04-85,45.24288694
01-07-85,45.52416071
01-10-85,45.98826245
01-01-86,46.22734516
01-04-86,46.00232613
01-07-86,46.28359991
01-10-86,46.60706475
01-01-87,47.16961231
01-04-87,47.70403248
01-07-87,48.21032528
01-10-87,48.66036332
01-01-88,49.04008292
01-04-88,49.60263047
01-07-88,50.20736909
01-10-88,50.75585296
01-01-89,51.3324642
01-04-89,52.16222184
01-07-89,52.57006881
01-10-89,53.10448899
01-01-90,54.01862876
01-04-90,54.55304894
01-07-90,55.49531609
01-10-90,56.43758324
01-01-91,56.8594939
01-04-91,57.19702244
01-07-91,57.63299679
01-10-91,58.11116221
01-01-92,58.5049455
01-04-92,58.95498354
01-07-92,59.40502158
01-10-92,59.92537807
01-01-93,60.36135242
01-04-93,60.79732677
01-07-93,61.07860055
01-10-93,61.58489335
01-01-94,61.8942945
01-04-94,62.24588672
01-07-94,62.82249796
01-10-94,63.18815387
01-01-95,63.6522556
01-04-95,64.17261209
01-07-95,64.49607693
01-10-95,64.84766915
01-01-96,65.4242804
01-04-96,65.98682795
01-07-96,66.36654755
01-10-96,66.94315879
01-01-97,67.35100576
01-04-97,67.50570634
01-07-97,67.84323487
01-10-97,68.20889078
01-01-98,68.34952767
01-04-98,68.57454669
01-07-98,68.92613891
01-10-98,69.24960376
01-01-99,69.50275015
01-04-99,70.02310664
01-07-99,70.54346313
01-10-99,71.06381961
01-01-00,71.76700405
01-04-00,72.32955161
01-07-00,72.99054498
01-10-00,73.51090147
01-01-01,74.21408591
01-04-01,74.7344424
01-07-01,74.94539773
01-10-01,74.88914297
01-01-02,75.12822568
01-04-02,75.71890061
01-07-02,76.12674759
01-10-02,76.57678563
01-01-03,77.36435221
01-04-03,77.23777901
01-07-03,77.81439025
01-10-03,78.10972771
01-01-04,78.77072109
01-04-04,79.3895234
01-07-04,79.89581619
01-10-04,80.75370121
01-01-05,81.16154819
01-04-05,81.71003205
01-07-05,82.94763667
01-10-05,83.72113955
01-01-06,84.15711391
01-04-06,84.9165531
01-07-06,85.71818337
01-10-06,85.36659114
01-01-07,86.20352127
01-04-07,87.17982254
01-07-07,87.73168169
01-10-07,88.80783516
01-01-08,89.76979148
01-04-08,90.9376402
01-07-08,92.33978997
01-10-08,90.22503308
01-01-09,89.6044025
01-04-09,90.08088027
01-07-09,90.85593017
01-10-09,91.56727155
01-01-10,91.71240881
01-04-10,91.68006233
01-07-10,91.94881942
01-10-10,92.69335111
01-01-11,93.68259098
01-04-11,94.74777477
01-07-11,95.36559262
01-10-11,95.79369131
01-01-12,96.33317441
01-04-12,96.53653535
01-07-12,96.97236907
01-10-12,97.6171892
01-01-13,98.00956612
01-04-13,97.90226018
01-07-13,98.43175806
01-10-13,98.79572633
01-01-14,99.41101271
01-04-14,99.93896359
01-07-14,100.1946415
01-10-14,99.94571416
01-01-15,99.28387697
01-04-15,99.96666906
01-07-15,100.3566551
01-10-15,100.3604523
01-01-16,100.3219178
01-04-16,101.0416974
01-07-16,101.5121278
01-10-16,102.1715742
01-01-17,102.8744774
01-04-17,102.9736264
